nation              o_year              sum_profit          
------------------------------------------------------------
ALGERIA             1998                27136900.180300     
ALGERIA             1997                48611833.496200     
ALGERIA             1996                48285482.678200     
ALGERIA             1995                44402273.599900     
ALGERIA             1994                48694008.066800     
ALGERIA             1993                46044207.783800     
ALGERIA             1992                45636849.488100     
ARGENTINA           1998                28341663.784800     
ARGENTINA           1997                47143964.117600     
ARGENTINA           1996                45255278.602100     
ARGENTINA           1995                45631769.205400     
ARGENTINA           1994                48268856.354700     
ARGENTINA           1993                48605593.616200     
ARGENTINA           1992                46654240.748700     
BRAZIL              1998                26527736.396000     
BRAZIL              1997                45640660.767700     
BRAZIL              1996                45090647.163000     
BRAZIL              1995                44015888.513200     
BRAZIL              1994                44854218.893200     
BRAZIL              1993                45766603.737900     
BRAZIL              1992                45280216.802700     
CANADA              1998                26828985.394400     
CANADA              1997                44849954.318600     
CANADA              1996                46307936.110800     
CANADA              1995                47311993.044100     
CANADA              1994                46691491.959600     
CANADA              1993                46634791.112100     
CANADA              1992                45873849.688200     
CHINA               1998                27510180.165700     
CHINA               1997                46123865.409700     
CHINA               1996                49532807.060100     
CHINA               1995                46734651.483800     
CHINA               1994                46397896.609700     
CHINA               1993                49634673.946300     
CHINA               1992                46949457.642600     
EGYPT               1998                28401491.796800     
EGYPT               1997                47674857.678300     
EGYPT               1996                47745727.545000     
EGYPT               1995                45897160.678300     
EGYPT               1994                47194895.228000     
EGYPT               1993                49133627.647100     
EGYPT               1992                47000574.502700     
ETHIOPIA            1998                25135046.137700     
ETHIOPIA            1997                43010596.083800     
ETHIOPIA            1996                43636287.192200     
ETHIOPIA            1995                43575757.334300     
ETHIOPIA            1994                41597208.528300     
ETHIOPIA            1993                42622804.161600     
ETHIOPIA            1992                44385735.681300     
FRANCE              1998                26210392.280400     
FRANCE              1997                42392969.473100     
FRANCE              1996                43306317.974900     
FRANCE              1995                46377408.432800     
FRANCE              1994                43447352.992200     
FRANCE              1993                43729961.063900     
FRANCE              1992                44052308.429000     
GERMANY             1998                25991257.107100     
GERMANY             1997                43968355.807900     
GERMANY             1996                45882074.804900     
GERMANY             1995                43314338.307700     
GERMANY             1994                44616995.436900     
GERMANY             1993                45126645.911300     
GERMANY             1992                44361141.210700     
INDIA               1998                29626417.237900     
INDIA               1997                51386111.344800     
INDIA               1996                47571018.512200     
INDIA               1995                49344062.282900     
INDIA               1994                50106952.426100     
INDIA               1993                48112766.698700     
INDIA               1992                47914303.123400     
INDONESIA           1998                27734909.676300     
INDONESIA           1997                44593812.986300     
INDONESIA           1996                44746729.807800     
INDONESIA           1995                45593622.699300     
INDONESIA           1994                45988483.877200     
INDONESIA           1993                46147963.789500     
INDONESIA           1992                45185777.068800     
