ps_partkey          value               
----------------------------------------
129760              17538456.860000     
166726              16503353.920000     
191287              16474801.970000     
161758              16101755.540000     
34452               15983844.720000     
139035              15907078.340000     
9403                15451755.620000     
154358              15212937.880000     
38823               15064802.860000     
85606               15053957.150000     
33354               14408297.400000     
154747              14407580.680000     
82865               14235489.780000     
76094               14094247.040000     
222                 13937777.740000     
121271              13908336.000000     
55221               13716120.470000     
22819               13666434.280000     
76281               13646853.680000     
85298               13581154.930000     
85158               13554904.000000     
139684              13535538.720000     
31034               13498025.250000     
87305               13482847.040000     
10181               13445148.750000     
62323               13411824.300000     
26489               13377256.380000     
96493               13339057.830000     
56548               13329014.970000     
55576               13306843.350000     
159751              13306614.480000     
92406               13287414.500000     
182636              13223726.740000     
199969              13135288.210000     
62865               13001926.940000     
7284                12945298.190000     
197867              12944510.520000     
11562               12931575.510000     
75165               12916918.120000     
97175               12911283.500000     
140840              12896562.230000     
65241               12890600.460000     
166120              12876927.220000     
9035                12863828.700000     
144616              12853549.300000     
176723              12832309.740000     
170884              12792136.580000     
29790               12723300.330000     
95213               12555483.730000     
183873              12550533.050000     
171235              12476538.300000     
21533               12437821.320000     
17290               12432159.500000     
156397              12260623.500000     
122611              12222812.980000     
139155              12220319.250000     
146316              12215800.610000     
171381              12199734.520000     
198633              12078226.950000     
167417              12046637.620000     
59512               12043468.760000     
31688               12034893.640000     
159586              12001505.840000     
8993                11963814.300000     
120302              11857707.550000     
43536               11779340.520000     
9552                11776909.160000     
86223               11772205.080000     
53776               11758669.650000     
131285              11616953.740000     
91628               11611114.830000     
169644              11567959.720000     
182299              11567462.050000     
33107               11453818.760000     
104184              11436657.440000     
67027               11419127.140000     
176869              11371451.710000     
30885               11369674.790000     
54420               11345076.880000     
72240               11313951.050000     
178708              11294635.170000     
81298               11273686.130000     
158324              11243442.720000     
117095              11242535.240000     
176793              11237733.380000     
86091               11177793.790000     
116033              11145434.360000     
129058              11119112.200000     
193714              11104706.390000     
117195              11077217.960000     
49851               11043701.780000     
19791               11030662.620000     
75800               11012401.620000     
161562              10996371.690000     
10119               10980015.750000     
39185               10970042.560000     
47223               10950022.130000     
175594              10942923.050000     
111295              10893675.610000     
155446              10852764.570000     
156391              10839810.380000     
40884               10837234.190000     
141288              10837130.210000     
152388              10830977.820000     
33449               10830858.720000     
149035              10826130.020000     
162620              10814275.680000     
118324              10791788.100000     
38932               10777541.750000     
121294              10764225.220000     
48721               10762582.490000     
63342               10740132.600000     
5614                10724668.800000     
62266               10711143.100000     
100202              10696675.550000     
197741              10688560.720000     
169178              10648522.800000     
5271                10639392.650000     
34499               10584177.100000     
71108               10569117.560000     
137132              10539880.470000     
78451               10524873.240000     
150827              10503810.480000     
107237              10488030.840000     
101727              10473558.100000     
58708               10466280.440000     
89768               10465477.220000     
146493              10444291.580000     
55424               10444006.480000     
16560               10425574.740000     
133114              10415097.900000     
195810              10413625.200000     
76673               10391977.180000     
97305               10390890.570000     
134210              10387210.020000     
188536              10386529.920000     
122255              10335760.320000     
2682                10312966.100000     
43814               10303086.610000     
34767               10290405.180000     
165584              10273705.890000     
2231                10270415.550000     
111259              10263256.560000     
195578              10239795.820000     
21093               10217531.300000     
29856               10216932.540000     
133686              10213345.760000     
87745               10185509.400000     
135153              10179379.700000     
11773               10167410.840000     
76316               10165151.700000     
123076              10161225.780000     
91894               10130462.190000     
39741               10128387.520000     
111753              10119780.980000     
142729              10104748.890000     
116775              10097750.420000     
102589              10034784.360000     
186268              10012181.570000     
44545               10000286.480000     
23307               9966577.500000      
124281              9930018.900000      
69604               9925730.640000      
21971               9908982.030000      
58148               9895894.400000      
16532               9886529.900000      
159180              9883744.430000      
74733               9877582.880000      
35173               9858275.920000      
7116                9856881.020000      
124620              9838589.140000      
122108              9829949.350000      
67200               9828690.690000      
164775              9821424.440000      
9039                9816447.720000      
14912               9803102.200000      
190906              9791315.700000      
130398              9781674.270000      
119310              9776927.210000      
10132               9770930.780000      
107211              9757586.250000      
113958              9757065.500000      
37009               9748362.690000      
66746               9743528.760000      
134486              9731922.000000      
15945               9731096.450000      
55307               9717745.800000      
56362               9714922.830000      
57726               9711792.100000      
57256               9708621.000000      
112292              9701653.080000      
87514               9699492.530000      
174206              9680562.020000      
72865               9679043.340000      
114357              9671017.440000      
112807              9665019.210000      
115203              9661018.730000      
177454              9658906.350000      
161275              9634313.710000      
61893               9617095.440000      
122219              9604888.200000      
183427              9601362.580000      
59158               9599705.960000      
61931               9584918.980000      
5532                9579964.140000      
20158               9576714.380000      
167199              9557413.080000      
38869               9550279.530000      
86949               9541943.700000      
198544              9538613.920000      
193762              9538238.940000      
108807              9536247.160000      
168324              9535647.990000      
115588              9532195.040000      
141372              9529702.140000      
175120              9526068.660000      
163851              9522808.830000      
160954              9520359.450000      
117757              9517882.800000      
52594               9508325.760000      
60960               9498843.060000      
70272               9495775.620000      
44050               9495515.360000      
152213              9494756.960000      
121203              9492601.300000      
70114               9491012.300000      
167588              9484741.110000      
136455              9476241.780000      
4357                9464355.640000      
6786                9463632.570000      
61345               9455336.700000      
160826              9446754.840000      
71275               9440138.400000      
77746               9439118.350000      
91289               9437472.000000      
56723               9435102.160000      
86647               9434604.180000      
131234              9432120.000000      
198129              9427651.360000      
165530              9426193.680000      
69233               9425053.920000      
6243                9423304.660000      
90110               9420422.700000      
191980              9419368.360000      
38461               9419316.070000      
167873              9419024.490000      
159373              9416950.150000      
128707              9413428.500000      
45267               9410863.780000      
48460               9409793.930000      
197672              9406887.680000      
60884               9403442.400000      
15209               9403245.310000      
138049              9401262.100000      
199286              9391770.700000      
19629               9391236.400000      
134019              9390615.150000      
169475              9387639.580000      
165918              9379510.440000      
135602              9374251.540000      
162323              9367566.510000      
96277               9360850.680000      
98336               9359671.290000      
119781              9356395.730000      
34440               9355365.000000      
57362               9355180.100000      
167236              9352973.840000      
38463               9347530.940000      
86749               9346826.440000      
170007              9345699.900000      
193087              9343744.000000      
150383              9332576.750000      
60932               9329582.020000      
128420              9328206.350000      
162145              9327722.880000      
55686               9320304.400000      
163080              9304916.960000      
160583              9303515.920000      
118153              9298606.560000      
152634              9282184.570000      
84731               9276586.920000      
119989              9273814.200000      
114584              9269698.650000      
131817              9268570.080000      
29068               9256583.880000      
44116               9255922.000000      
115818              9253311.910000      
103388              9239218.080000      
186118              9236209.120000      
155809              9235410.840000      
147003              9234847.990000      
27769               9232511.640000      
112779              9231927.360000      
124851              9228982.680000      
158488              9227216.400000      
83328               9224792.200000      
136797              9222927.090000      
141730              9216370.680000      
87304               9215695.500000      
156004              9215557.900000      
140740              9215329.200000      
100648              9212185.080000      
174774              9211718.000000      
37644               9211578.600000      
48807               9209496.240000      
95940               9207948.400000      
141586              9206699.220000      
147248              9205654.950000      
61372               9205228.760000      
52970               9204415.950000      
26430               9203710.510000      
28504               9201669.200000      
25810               9198878.500000      
125329              9198688.500000      
167867              9194022.720000      
134767              9191444.720000      
127745              9191271.560000      
69208               9187110.000000      
155222              9186469.160000      
196916              9182995.820000      
195590              9176353.120000      
169155              9175176.090000      
81558               9171946.500000      
185136              9171293.040000      
114790              9168509.100000      
194142              9165836.610000      
167639              9161165.000000      
11241               9160789.460000      
82628               9160155.540000      
41399               9148338.000000      
30755               9146196.840000      
6944                9143574.580000      
6326                9138803.160000      
101296              9135657.620000      
181479              9121093.300000      
76898               9120983.100000      
64274               9118745.250000      
175826              9117387.990000      
142215              9116876.880000      
103415              9113128.620000      
119765              9110768.790000      
107624              9108837.450000      
84215               9105257.360000      
73774               9102651.920000      
173972              9102069.000000      
69817               9095513.880000      
86943               9092253.000000      
138859              9087719.300000      
162273              9085296.480000      
175945              9080401.210000      
16836               9075715.440000      
70224               9075265.950000      
139765              9074755.890000      
30319               9073233.100000      
3851                9072657.240000      
181271              9070631.520000      
162184              9068835.780000      
81683               9067258.470000      
153028              9067010.510000      
123324              9061870.950000      
186481              9058608.300000      
167680              9052908.760000      
165293              9050545.700000      
122148              9046298.170000      
138604              9045840.800000      
78851               9044822.600000      
137280              9042355.340000      
8823                9040855.100000      
163900              9040848.480000      
75600               9035392.450000      
81676               9031999.400000      
46033               9031460.580000      
194917              9028500.000000      
133936              9026949.020000      
33182               9024971.100000      
34220               9021485.390000      
20118               9019942.600000      
178258              9019881.660000      
15560               9017687.280000      
111425              9016198.560000      
95942               9015585.120000      
132709              9015240.150000      
39731               9014746.950000      
154307              9012571.200000      
23769               9008157.600000      
93328               9007211.200000      
142826              8998297.440000      
188792              8996014.000000      
68703               8994982.220000      
145280              8990941.050000      
150725              8985686.160000      
172046              8982469.520000      
70476               8967629.500000      
124988              8966805.220000      
17937               8963319.760000      
177372              8954873.640000      
137994              8950916.790000      
84019               8950039.980000      
40389               8946158.200000      
69187               8941054.140000      
4863                8939044.920000      
50465               8930503.140000      
43686               8915543.840000      
131352              8909053.590000      
198916              8906940.030000      
135932              8905282.950000      
104673              8903682.000000      
152308              8903244.080000      
135298              8900323.200000      
156873              8899429.100000      
157454              8897339.200000      
75415               8897068.090000      
46325               8895569.090000      
1966                8895117.060000      
24576               8895034.750000      
19425               8890156.600000      
169735              8890085.560000      
32225               8889829.280000      
124537              8889770.710000      
146327              8887836.230000      
121562              8887740.400000      
44731               8882444.950000      
93141               8881850.880000      
187871              8873506.180000      
71709               8873057.280000      
151913              8869321.170000      
33786               8868955.390000      
35902               8868126.060000      
23588               8867769.900000      
24508               8867616.000000      
161282              8866661.430000      
188061              8862304.000000      
132847              8862082.000000      
166843              8861200.800000      
30609               8860214.730000      
56191               8856546.960000      
160740              8852685.430000      
71229               8846106.990000      
91208               8845541.280000      
10995               8845306.560000      
78094               8839938.290000      
36489               8838538.100000      
198437              8836494.840000      
151693              8833807.640000      
185367              8829791.370000      
65682               8820622.890000      
65421               8819329.240000      
122225              8816821.860000      
85330               8811013.160000      
64555               8810643.120000      
104188              8808211.020000      
54411               8805703.400000      
39438               8805282.560000      
70795               8800060.920000      
20383               8799073.280000      
21952               8798624.190000      
63584               8796590.000000      
158768              8796422.950000      
166588              8796214.380000      
120600              8793558.060000      
157202              8788287.880000      
55358               8786820.750000      
168322              8786670.730000      
25143               8786324.800000      
5368                8786274.140000      
114025              8786201.120000      
97744               8785315.940000      
164327              8784503.860000      
76542               8782613.280000      
4731                8772846.700000      
157590              8772006.450000      
154276              8771733.910000      
28705               8771576.640000      
100226              8769455.000000      
179195              8769185.160000      
184355              8768118.050000      
120408              8768011.120000      
63145               8761991.960000      
53135               8753491.800000      
173071              8750508.800000      
41087               8749436.790000      
194830              8747438.400000      
43496               8743359.300000      
30235               8741611.000000      
26391               8741399.640000      
191816              8740258.720000      
47616               8737229.680000      
152101              8734432.760000      
163784              8730514.340000      
5134                8728424.640000      
155241              8725429.860000      
188814              8724182.400000      
140782              8720378.750000      
153141              8719407.510000      
169373              8718609.060000      
41335               8714773.800000      
197450              8714617.320000      
87004               8714017.790000      
181804              8712257.760000      
122814              8711119.140000      
109939              8709193.160000      
98094               8708780.040000      
74630               8708040.750000      
197291              8706519.090000      
184173              8705467.450000      
192175              8705411.120000      
19471               8702536.120000      
18052               8702155.700000      
135560              8698137.720000      
152791              8697325.800000      
170953              8696909.190000      
116137              8696687.170000      
7722                8696589.400000      
49788               8694846.710000      
13252               8694822.420000      
12633               8694559.360000      
193438              8690426.720000      
17326               8689329.160000      
96124               8679794.580000      
143802              8676626.480000      
30389               8675826.600000      
75250               8675257.140000      
72613               8673524.940000      
123520              8672456.250000      
325                 8667741.280000      
167291              8667556.180000      
150119              8663403.540000      
88420               8663355.400000      
179784              8653021.340000      
130884              8651970.000000      
172611              8648217.000000      
85373               8647796.220000      
122717              8646758.540000      
113431              8646348.340000      
66015               8643349.400000      
33141               8643243.180000      
69786               8637396.920000      
181857              8637393.280000      
122939              8636378.000000      
196223              8635391.020000      
50532               8632648.240000      
58102               8632614.540000      
93581               8632372.360000      
52804               8632109.250000      
755                 8627091.680000      
16597               8623357.050000      
119041              8622397.000000      
89050               8621185.980000      
98696               8620784.820000      
94399               8620524.000000      
151295              8616671.020000      
56417               8613450.350000      
121322              8612948.230000      
126883              8611373.420000      
29155               8610163.640000      
114530              8608471.740000      
131007              8607394.820000      
128715              8606833.620000      
72522               8601479.980000      
144061              8595718.740000      
83503               8595034.200000      
112199              8590717.440000      
9227                8587350.420000      
116318              8585910.660000      
41248               8585559.640000      
159398              8584821.000000      
105966              8582308.790000      
137876              8580641.300000      
122272              8580400.770000      
195717              8577278.100000      
165295              8571121.920000      
5840                8570728.740000      
120860              8570610.440000      
66692               8567540.520000      
135596              8563276.310000      
150576              8562794.100000      
7500                8562393.840000      
107716              8561541.560000      
100611              8559995.850000      
171192              8557390.080000      
107660              8556696.600000      
13461               8556545.120000      
90310               8555131.510000      
141493              8553782.930000      
71286               8552682.000000      
136423              8551300.760000      
54241               8550785.250000      
120325              8549976.600000      
424                 8547527.100000      
196543              8545907.090000      
13042               8542717.180000      
58332               8536074.690000      
9191                8535663.920000      
134357              8535429.900000      
96207               8534900.600000      
92292               8530618.780000      
181093              8528303.520000      
105064              8527491.600000      
59635               8526854.080000      
136974              8524351.560000      
126694              8522783.370000      
6247                8522606.900000      
139447              8522521.920000      
96313               8520949.920000      
108454              8520916.250000      
181254              8519496.100000      
71117               8519223.000000      
131703              8517215.280000      
59312               8510568.360000      
2903                8509960.350000      
102838              8509527.690000      
162806              8508906.050000      
41527               8508222.360000      
118416              8505858.360000      
180203              8505024.160000      
14773               8500598.280000      
140446              8499514.240000      
199641              8497362.590000      
109240              8494617.120000      
150268              8494188.380000      
45310               8492380.650000      
36552               8490733.600000      
199690              8490145.800000      
185353              8488726.680000      
163615              8484985.010000      
196520              8483545.040000      
133438              8483482.350000      
77285               8481442.320000      
55824               8476893.900000      
76753               8475522.120000      
46129               8472717.960000      
28358               8472515.500000      
9317                8472145.320000      
33823               8469721.440000      
39055               8469145.070000      
91471               8468874.560000      
142299              8466039.550000      
97672               8464119.800000      
134712              8461781.790000      
157988              8460123.200000      
102284              8458652.440000      
73533               8458453.320000      
90599               8457874.860000      
112160              8457863.360000      
124792              8457633.700000      
66097               8457573.150000      
165271              8456969.010000      
146925              8454887.910000      
164277              8454838.500000      
131290              8454811.200000      
179386              8450909.900000      
90486               8447873.860000      
175924              8444421.660000      
185922              8442394.880000      
38492               8436438.320000      
172511              8436287.340000      
139539              8434180.290000      
11926               8433199.520000      
55889               8431449.880000      
163068              8431116.400000      
138772              8428406.360000      
126821              8425180.680000      
22091               8420687.880000      
55981               8419434.380000      
100960              8419403.460000      
172568              8417955.210000      
63135               8415945.530000      
137651              8413170.350000      
191353              8413039.840000      
62988               8411571.480000      
103417              8411541.120000      
12052               8411519.280000      
104260              8408516.550000      
157129              8405730.080000      
77254               8405537.220000      
112966              8403512.890000      
168114              8402764.560000      
49940               8402328.200000      
52017               8398753.600000      
176179              8398087.000000      
100215              8395906.610000      
61256               8392811.200000      
15366               8388907.800000      
109479              8388027.200000      
66202               8386522.830000      
81707               8385761.190000      
51727               8385426.400000      
9980                8382754.620000      
174403              8378575.730000      
54558               8378041.920000      
3141                8377378.220000      
134829              8377105.520000      
145056              8376920.760000      
194020              8375157.640000      
7117                8373982.270000      
120146              8373796.200000      
126843              8370761.280000      
62117               8369493.440000      
111221              8367525.810000      
159337              8366092.260000      
173903              8365428.480000      
136438              8364065.450000      
56684               8363198.000000      
137597              8363185.940000      
20039               8361138.240000      
121326              8359635.520000      
48435               8352863.100000      
1712                8349107.000000      
167190              8347238.700000      
32113               8346452.040000      
40580               8342983.320000      
74785               8342519.130000      
14799               8342236.750000      
177291              8341736.830000      
198956              8340370.650000      
69179               8338465.990000      
118764              8337616.560000      
128814              8336435.560000      
82729               8331766.880000      
152048              8330638.990000      
