s_name              s_address           
----------------------------------------
Supplier#000000197  YC2Acon6kjY3zj3Fbxs2k4Vdf7X0cd2F
Supplier#000000226  83qOdU2EYRdPQAQhEtn GRZEd
Supplier#000000285  Br7e1nnt1yxrw6ImgpJ7YdhFDjuBf
Supplier#000000361  f8IUYRmdVXhQC9qJQjWknCXmzhe38vCbk6
Supplier#000000378  FfbhyCxWvcPrO8ltp9  
Supplier#000000402  i9Sw4DoyMhzhKXCH9By,AYSgmD
Supplier#000000431  WoeV,NINojE6hJjauAdrl5fGcdxX5JUPLnrim
Supplier#000000475  xw4V6,4QQW LI5Qg EOKy4JD B4Cq1tjzaOma9Y
Supplier#000000532  ep92hT7VLaVlDKM7lgbj02kIL
Supplier#000000555  TfB,a5bfl3Ah 3Z 74GqnNs6zKVGM
Supplier#000000657  nas2fhRwM97W8EEqYpBN
Supplier#000000729  pqck2ppy758TQpZCUAjPvlU55K3QjfL7Bi
Supplier#000000736  l6i2nMwVuovfKnuVgaSGK2rDy65DlAFLegiL7
Supplier#000000744  5NKuw5W4mFDMQBbUjUO4k kfokG8yvAe
Supplier#000000761  zlSLelQUj2XrvTTFnv7WAcYZGvvMTx882d4
Supplier#000000935  ij98czM 2KzWe7dDTOxB8sq0UfCdvrX
Supplier#000000971  23XaUVLYuC3tQIPHCuLLgM5UawL
Supplier#000000975  ,AC e,tBpNwKb5xMUzeohxlRn, hdZJo73gFQF8y
Supplier#000001033  A6x1P,56sVHkb4DqVyUw32n,ChI
Supplier#000001123  n5L 4Otbff3oXbr0Ibs 
Supplier#000001141  xCOuPvOd565r9H31,xuZcpE
Supplier#000001245  bztTCfHZnsLafgtZWe,isV Gr 4IFg
Supplier#000001263  rQWr6nf8ZhB2TAiIDIvo5Io
Supplier#000001367  42YSkFcAXMMcucsqeEefOE4HeCC
Supplier#000001447  Y6nbeZmxx9J0j,1PLvpljga qvtV0e3ehThVjXMf
Supplier#000001454  TOpimgu2TVXIjhiL93h,
Supplier#000001501  xL06,Y 2M3CjPr      
Supplier#000001528  it4EmP9yhW0IZvUnapbYfoKXVvY2
Supplier#000001602  uKNWIeafaM644       
Supplier#000001624  ISkTuv6KLp9AcxdWRGJ8 ey,r56tQ9DozGP
Supplier#000001699  Q9C4rfJ26oijVPqqcqVXeRI
Supplier#000001700  7hMlCof1Y5zLFg      
Supplier#000001722  h3CJRmiahabx        
Supplier#000001746  qWsendlOekQG1aW4uq06uQaCm51se8lirv7 hBRd
Supplier#000001752  Fra7outx41THYJaRThdOGiBk
Supplier#000001806  M934fuZSnLW         
Supplier#000001873  Tdzlitffjp,Qv7bB3mWthF8
Supplier#000001931  FpJbMU2h6ZR2eBv8I9NIxF
Supplier#000001939  Nrk,JA4bfReUs       
Supplier#000002020  jB6r1d7MxP6co       
Supplier#000002022  dwebGX7Id2pc25YvY33 
Supplier#000002036  20ytTtVObjKUUI2WCB0A
Supplier#000002117  MRtkgKolHJ9Wh X9J,urANHKDzvjr
Supplier#000002204  uYmlr46C06udCqanj0KiRsoTQakZsEyssL
Supplier#000002218  nODZw5q4dx kp0K5    
Supplier#000002245  hz2qWXWVjOyKhqPYMoEwz6zFkrTaDM
Supplier#000002264  dBDsb7P6EcVLsX      
Supplier#000002265  sYKnh6xGOOFl,D8Jjch4vqcSZ 0,sgp
Supplier#000002282  ES21K9dxoW1I1TzWCj7ekdlNwSWnv1Z  6mQ,BKn
Supplier#000002331  WRh2w5WFvRg7Z0S1AvSvHCL
Supplier#000002444  q8x5 AFA, 9zfXRVYkn67kb3o0AagF
Supplier#000002460  wu8B2e YWGoKM fi e23UQn,YD79edUIIXX
Supplier#000002476  XmIgFZUxS9KpXDl     
Supplier#000002494  8 j3qJvL6qjroE avAdKFooKo4IMH2oPHLXH0H9p
Supplier#000002571  JZUugz04c iJFLrlGsz9O N,W 1rVHNIReyq
Supplier#000002669  GG1GW2tM6wvOW iIPblxxmXj2g
Supplier#000002721  HVdFAN2JHMQSpKm     
Supplier#000002875  6JgMi 9Qt6VmwL3Ltt1SRlKww0keLQ,RAZa
Supplier#000003062  LSQNgqY1xnOzz9zBCapy7HwOZQ
Supplier#000003089  s5b VCIZqMSZVa r g7LTdcg29GbTE7rI1x
Supplier#000003169  ODz6ABJGTs8Qnz      
Supplier#000003201  E87yws6I,t0qNs4QW7UzExKiJnJDZWue
Supplier#000003275  9xO4nyJ2QJcX6vGf    
Supplier#000003304  wLN88ULs9Y          
Supplier#000003314  jnisU8MzqO4iUB3zsPcrysMw3DDUojS4q7LD
Supplier#000003380  jPv0V,pszouuFT3YsAqlP,kxT3u,gTFiEbRt,x
Supplier#000003403  e3X2o ,KCG9tsHji8A XXCxiF2hZWBw
Supplier#000003422  DJoCEapUeBXoV1iYiCcPFQvzsTv2ZI960
