ps_partkey          value               
----------------------------------------
1198922             24327627.660000     
782376              22103155.330000     
329355              19679082.720000     
2275943             18548556.340000     
1970551             18541028.550000     
1636425             17714432.110000     
1485921             17565083.550000     
2859826             17541318.060000     
2468587             17516831.950000     
2213051             17469432.890000     
1244889             17461942.120000     
2614811             17461625.760000     
622901              17418866.760000     
1383938             17408725.880000     
1084351             17294596.270000     
2817024             17286098.770000     
3052126             17279024.280000     
304423              17276201.880000     
827616              17258284.200000     
1775437             17237424.050000     
525412              17200947.720000     
1660870             17173885.240000     
138895              17152749.900000     
2355609             17107509.730000     
2502277             17055212.810000     
2278105             17049770.400000     
1227366             16962893.450000     
1162650             16909789.710000     
858472              16842127.300000     
2230384             16817518.150000     
2341959             16808369.600000     
1102748             16724066.380000     
878100              16700178.690000     
920114              16634925.100000     
438280              16617253.760000     
1992845             16531011.000000     
1752975             16495128.900000     
1480968             16472769.840000     
2982369             16469096.980000     
333950              16358236.480000     
515873              16316210.950000     
1969711             16297067.220000     
2891492             16290613.980000     
2898441             16281894.280000     
322180              16269758.630000     
577906              16238105.550000     
808950              16219219.190000     
563382              16218870.850000     
579453              16190061.210000     
612198              16170669.360000     
402696              16148884.000000     
1087229             16116884.000000     
2952849             16097986.260000     
2526708             16042004.020000     
1424262             15981989.420000     
3182138             15968051.550000     
2959270             15966430.810000     
2257256             15960398.810000     
2758168             15952335.230000     
375310              15945135.740000     
1509428             15918988.570000     
2986435             15912084.130000     
997591              15908064.300000     
493245              15890423.150000     
1123328             15885767.150000     
340070              15882269.920000     
239540              15867901.200000     
1614697             15841047.200000     
1640054             15831806.760000     
107063              15831563.750000     
719270              15827565.200000     
1312492             15825035.320000     
2076667             15787889.920000     
1680262             15712710.720000     
116508              15696413.020000     
1171456             15693084.060000     
3143661             15642239.390000     
2701538             15606878.720000     
1911480             15603182.650000     
2698440             15591007.400000     
1844013             15580430.350000     
2529169             15577927.950000     
623072              15574447.210000     
2796134             15572317.630000     
2658222             15564928.570000     
2262652             15560957.840000     
1039383             15550567.020000     
1275925             15549850.280000     
2064192             15540991.730000     
85840               15515431.540000     
635437              15500557.200000     
2917354             15496900.560000     
892896              15492088.880000     
1379951             15479239.740000     
2446975             15474851.430000     
522658              15453540.530000     
2941989             15444477.930000     
1365736             15441187.620000     
160740              15436131.670000     
