c_count             custdist            
----------------------------------------
0                   800037              
10                  105650              
9                   103742              
11                  99520               
8                   94041               
12                  89471               
13                  79695               
7                   74886               
19                  74821               
18                  74329               
14                  72684               
20                  72527               
17                  72240               
16                  70017               
15                  69862               
21                  67518               
22                  60601               
6                   52205               
23                  52127               
24                  42751               
25                  33866               
5                   31621               
26                  25272               
27                  18733               
4                   15917               
28                  13259               
29                  8872                
3                   6403                
30                  5935                
31                  3709                
32                  2261                
2                   1888                
33                  1411                
34                  802                 
35                  435                 
1                   390                 
36                  245                 
37                  119                 
38                  70                  
39                  28                  
40                  26                  
41                  9                   
42                  2                   
45                  1                   
44                  1                   
43                  1                   
