c_name              c_custkey           o_orderkey          o_orderdate         o_totalprice        sum                 
------------------------------------------------------------------------------------------------------------------------
Customer#001869209  1869209             41277440            1997-02-19          569910.230000       314.000000          
Customer#000585892  585892              4806726             1995-01-17          567009.450000       328.000000          
Customer#000290597  290597              17457767            1993-06-05          565761.340000       316.000000          
Customer#000339922  339922              23245603            1994-11-22          563186.790000       321.000000          
Customer#000055165  55165               70101445            1998-06-22          561202.500000       305.000000          
Customer#002060498  2060498             42290181            1997-11-26          559611.820000       318.000000          
Customer#001245053  1245053             18927141            1994-02-11          551460.740000       308.000000          
Customer#000323773  323773              73978176            1994-10-28          546742.960000       319.000000          
Customer#001536763  1536763             72945795            1998-06-06          545443.930000       307.000000          
Customer#000625934  625934              26587169            1996-01-19          543260.960000       306.000000          
Customer#000810638  810638              65003587            1992-02-15          542382.290000       318.000000          
Customer#000914644  914644              21213895            1992-01-03          538959.620000       327.000000          
Customer#000757081  757081              11484962            1992-02-10          537803.430000       306.000000          
Customer#002049916  2049916             4722021             1994-04-07          532762.970000       323.000000          
Customer#000175708  175708              10408580            1994-09-03          532422.350000       320.000000          
Customer#002029823  2029823             4702759             1994-11-07          532090.020000       320.000000          
Customer#001454662  1454662             52426951            1995-05-17          532010.730000       309.000000          
Customer#000936616  936616              74270531            1997-05-12          531943.540000       320.000000          
Customer#001508360  1508360             48881602            1993-09-19          530313.410000       327.000000          
Customer#000262031  262031              64792097            1995-10-07          527113.980000       311.000000          
Customer#001392419  1392419             79368322            1992-06-22          524526.690000       305.000000          
Customer#001963010  1963010             65178529            1997-03-31          524377.580000       322.000000          
Customer#000882913  882913              85621063            1993-09-13          522208.380000       312.000000          
Customer#001247803  1247803             67693986            1995-03-08          520511.930000       321.000000          
Customer#001684153  1684153             5296167             1996-09-06          520077.460000       303.000000          
Customer#000623156  623156              21135524            1992-11-22          519272.440000       320.000000          
Customer#001504276  1504276             79562496            1996-09-07          518011.520000       305.000000          
Customer#002291075  2291075             73478658            1997-09-19          517508.900000       303.000000          
Customer#001624459  1624459             77250913            1995-11-17          517212.510000       305.000000          
Customer#002186660  2186660             94223492            1995-12-26          517005.920000       326.000000          
Customer#001828961  1828961             52415075            1996-05-10          516788.710000       312.000000          
Customer#001675183  1675183             31105221            1994-08-21          516723.590000       302.000000          
Customer#000628036  628036              88089665            1995-07-04          516674.710000       310.000000          
Customer#000242525  242525              47058404            1993-08-07          516640.720000       308.000000          
Customer#000088321  88321               10906593            1996-03-16          516040.600000       308.000000          
Customer#001617700  1617700             68024131            1997-12-10          515975.560000       302.000000          
Customer#000295393  295393              44800711            1994-03-19          515433.980000       310.000000          
Customer#001432526  1432526             21312615            1995-12-08          515255.350000       303.000000          
Customer#001201657  1201657             51031042            1992-07-06          515060.330000       307.000000          
Customer#001460753  1460753             68568806            1996-12-02          515037.470000       303.000000          
Customer#000313499  313499              94395556            1996-11-11          514868.360000       306.000000          
Customer#000843584  843584              91103463            1997-09-10          514614.630000       302.000000          
Customer#000548617  548617              95415141            1996-02-14          514568.000000       302.000000          
Customer#000587978  587978              6292038             1997-11-12          514491.290000       305.000000          
Customer#000283909  283909              6882                1997-04-09          513934.080000       303.000000          
Customer#000098827  98827               46486080            1997-05-02          513615.400000       314.000000          
Customer#001853254  1853254             31587747            1998-06-02          512525.620000       308.000000          
Customer#001809068  1809068             18869634            1995-01-10          512246.320000       310.000000          
Customer#002237642  2237642             90068066            1992-07-25          511860.270000       323.000000          
Customer#002153323  2153323             18449123            1993-09-30          511510.120000       313.000000          
Customer#000262135  262135              502886              1994-04-12          511192.100000       312.000000          
Customer#000423211  423211              44723233            1992-08-09          510828.430000       306.000000          
Customer#002329315  2329315             62406017            1992-01-07          510536.480000       314.000000          
Customer#000390361  390361              81330726            1996-04-23          510414.900000       313.000000          
Customer#001064632  1064632             7810823             1998-01-05          510302.330000       324.000000          
Customer#002146694  2146694             26707522            1996-01-02          510110.730000       311.000000          
Customer#002342398  2342398             37307554            1998-03-10          509895.810000       304.000000          
Customer#000520481  520481              20315522            1998-02-24          509691.250000       307.000000          
Customer#001999366  1999366             66120322            1997-02-05          509065.440000       312.000000          
Customer#001285429  1285429             95438278            1996-10-31          508783.090000       312.000000          
Customer#001068610  1068610             2199712             1996-09-30          508691.970000       327.000000          
Customer#001712585  1712585             37128899            1994-08-12          508560.510000       309.000000          
Customer#001201546  1201546             17612003            1996-02-05          508245.770000       302.000000          
Customer#001717394  1717394             40356833            1998-04-29          508046.500000       315.000000          
Customer#002353195  2353195             47452993            1993-01-06          507983.940000       301.000000          
Customer#002036281  2036281             92511430            1995-03-06          507676.540000       318.000000          
Customer#001247428  1247428             43328641            1997-12-22          507651.160000       305.000000          
Customer#000472408  472408              14389831            1996-11-04          507558.450000       301.000000          
Customer#001213276  1213276             92995713            1993-12-18          507211.230000       325.000000          
Customer#000270703  270703              55807047            1996-04-26          507026.880000       306.000000          
Customer#001107028  1107028             90825827            1994-02-22          507020.690000       302.000000          
Customer#000884509  884509              66169863            1993-03-06          506804.830000       302.000000          
Customer#000459527  459527              30702500            1993-09-23          506803.170000       309.000000          
Customer#000595435  595435              48300454            1992-11-30          506710.540000       318.000000          
Customer#001206616  1206616             92206823            1997-05-26          506486.590000       308.000000          
Customer#001484027  1484027             76846148            1993-06-28          506330.300000       311.000000          
Customer#001474690  1474690             64571750            1994-01-14          506130.870000       303.000000          
Customer#001427578  1427578             38728164            1997-04-18          505462.660000       310.000000          
Customer#000681079  681079              88511331            1997-02-27          505079.950000       306.000000          
Customer#001473415  1473415             49453025            1996-12-06          504882.580000       301.000000          
Customer#001869727  1869727             6222658             1994-03-08          504878.890000       301.000000          
Customer#000249695  249695              69370114            1992-05-02          504790.060000       301.000000          
Customer#001373461  1373461             57173283            1998-04-18          504435.300000       306.000000          
Customer#002087870  2087870             88084293            1993-12-23          503917.720000       315.000000          
Customer#001198696  1198696             7611718             1992-05-01          503704.130000       301.000000          
Customer#001048999  1048999             87417216            1993-10-08          503679.420000       303.000000          
Customer#001323275  1323275             82389922            1997-12-05          503513.950000       326.000000          
Customer#001785007  1785007             13165024            1992-06-29          503383.770000       318.000000          
Customer#001995956  1995956             19546182            1996-02-08          502876.940000       307.000000          
Customer#001597576  1597576             51532000            1992-10-27          502309.980000       319.000000          
Customer#000831869  831869              67173314            1998-04-08          502291.380000       306.000000          
Customer#002067800  2067800             7125602             1994-07-08          502033.310000       301.000000          
Customer#001301188  1301188             52469894            1994-06-13          501966.470000       307.000000          
Customer#001570330  1570330             20971013            1997-08-12          501898.230000       322.000000          
Customer#002166004  2166004             67226562            1992-10-05          501802.560000       301.000000          
Customer#001474262  1474262             57823175            1992-10-02          501545.670000       306.000000          
Customer#000728608  728608              4527553             1994-05-22          501423.690000       305.000000          
Customer#001544573  1544573             71585349            1997-03-26          500905.450000       316.000000          
Customer#000290995  290995              3037414             1995-01-25          500797.650000       308.000000          
Customer#001733858  1733858             82908225            1998-01-25          500326.950000       308.000000          
Customer#000800905  800905              35383045            1997-12-11          500068.670000       317.000000          
Customer#002177684  2177684             78142790            1992-08-20          499712.840000       310.000000          
Customer#000022573  22573               12701702            1997-07-26          499677.390000       311.000000          
Customer#000129224  129224              22470437            1992-01-16          499625.480000       304.000000          
Customer#001263430  1263430             45460769            1992-12-26          499600.110000       305.000000          
Customer#001186904  1186904             23166179            1992-09-14          499511.430000       301.000000          
Customer#000692326  692326              42262528            1997-01-19          499321.620000       313.000000          
Customer#002356153  2356153             32122243            1992-01-29          499121.460000       303.000000          
Customer#001542398  1542398             85438176            1995-04-10          499109.870000       309.000000          
Customer#000487978  487978              75692003            1998-05-20          499091.390000       307.000000          
Customer#001031698  1031698             2745894             1996-07-04          498926.390000       304.000000          
Customer#000996619  996619              83234500            1995-03-09          498771.880000       307.000000          
Customer#001747249  1747249             15373056            1996-11-07          498568.530000       301.000000          
Customer#000289550  289550              28378659            1997-03-21          498302.390000       303.000000          
Customer#001949405  1949405             34472643            1996-05-13          498136.180000       313.000000          
Customer#002330501  2330501             36420615            1998-07-16          497596.650000       306.000000          
Customer#001237684  1237684             71095779            1992-12-27          497573.910000       305.000000          
Customer#001841974  1841974             72533157            1995-10-29          497523.440000       302.000000          
Customer#000569963  569963              34130272            1995-10-03          497416.530000       305.000000          
Customer#002063723  2063723             10184165            1992-06-15          497073.220000       311.000000          
Customer#000322432  322432              44232641            1993-10-12          496780.540000       311.000000          
Customer#000971344  971344              34181762            1992-03-25          496725.120000       309.000000          
Customer#000526666  526666              24690087            1995-05-29          496423.430000       306.000000          
Customer#001314674  1314674             22897223            1998-01-24          496005.350000       309.000000          
Customer#001517215  1517215             29089474            1994-04-18          496004.160000       302.000000          
Customer#002184022  2184022             11785570            1996-07-18          495982.100000       303.000000          
Customer#001028159  1028159             24319555            1992-08-08          495980.250000       303.000000          
Customer#002097040  2097040             88925410            1995-01-10          495955.130000       310.000000          
Customer#001237871  1237871             30567815            1996-03-03          495937.160000       303.000000          
Customer#000874948  874948              18762278            1992-11-24          495915.670000       305.000000          
Customer#000556540  556540              53623108            1995-05-07          495828.860000       316.000000          
Customer#000742952  742952              4745607             1997-07-03          495782.480000       309.000000          
Customer#001392095  1392095             17812705            1992-03-20          495723.700000       301.000000          
Customer#000223039  223039              2232932             1997-04-13          495527.300000       304.000000          
