s_name              numwait             
----------------------------------------
Supplier#000037951  22                  
Supplier#000038967  22                  
Supplier#000075597  22                  
Supplier#000084556  22                  
Supplier#000140386  22                  
Supplier#000048973  21                  
Supplier#000054475  21                  
Supplier#000066550  21                  
Supplier#000086474  21                  
Supplier#000003646  20                  
Supplier#000026016  20                  
Supplier#000048832  20                  
Supplier#000052829  20                  
Supplier#000054692  20                  
Supplier#000082158  20                  
Supplier#000090592  20                  
Supplier#000128635  20                  
Supplier#000140840  20                  
Supplier#000156667  20                  
Supplier#000010207  19                  
Supplier#000014700  19                  
Supplier#000021989  19                  
Supplier#000025667  19                  
Supplier#000032671  19                  
Supplier#000034815  19                  
Supplier#000035901  19                  
Supplier#000036162  19                  
Supplier#000040797  19                  
Supplier#000041134  19                  
Supplier#000053703  19                  
Supplier#000053711  19                  
Supplier#000054845  19                  
Supplier#000059120  19                  
Supplier#000063110  19                  
Supplier#000074930  19                  
Supplier#000083973  19                  
Supplier#000104050  19                  
Supplier#000112655  19                  
Supplier#000116810  19                  
Supplier#000134971  19                  
Supplier#000140427  19                  
Supplier#000145160  19                  
Supplier#000149516  19                  
Supplier#000151582  19                  
Supplier#000154325  19                  
Supplier#000001337  18                  
Supplier#000001435  18                  
Supplier#000002452  18                  
Supplier#000003548  18                  
Supplier#000006259  18                  
Supplier#000006561  18                  
Supplier#000011307  18                  
Supplier#000014877  18                  
Supplier#000023891  18                  
Supplier#000031391  18                  
Supplier#000037087  18                  
Supplier#000038782  18                  
Supplier#000042584  18                  
Supplier#000043449  18                  
Supplier#000044457  18                  
Supplier#000045685  18                  
Supplier#000051232  18                  
Supplier#000057123  18                  
Supplier#000061632  18                  
Supplier#000062120  18                  
Supplier#000065546  18                  
Supplier#000066031  18                  
Supplier#000066134  18                  
Supplier#000066673  18                  
Supplier#000067182  18                  
Supplier#000068240  18                  
Supplier#000068243  18                  
Supplier#000072105  18                  
Supplier#000079207  18                  
Supplier#000081009  18                  
Supplier#000083946  18                  
Supplier#000084014  18                  
Supplier#000086917  18                  
Supplier#000090656  18                  
Supplier#000092747  18                  
Supplier#000096951  18                  
Supplier#000097583  18                  
Supplier#000103444  18                  
Supplier#000106686  18                  
Supplier#000106778  18                  
Supplier#000116052  18                  
Supplier#000116473  18                  
Supplier#000119460  18                  
Supplier#000120881  18                  
Supplier#000123572  18                  
Supplier#000131096  18                  
Supplier#000131946  18                  
Supplier#000141123  18                  
Supplier#000146772  18                  
Supplier#000147210  18                  
Supplier#000150570  18                  
Supplier#000154144  18                  
Supplier#000000610  17                  
Supplier#000001916  17                  
Supplier#000002095  17                  
Supplier#000003205  17                  
Supplier#000005720  17                  
Supplier#000008234  17                  
Supplier#000008376  17                  
Supplier#000009855  17                  
Supplier#000009891  17                  
Supplier#000009898  17                  
Supplier#000012946  17                  
Supplier#000015904  17                  
Supplier#000018826  17                  
Supplier#000020824  17                  
Supplier#000026065  17                  
Supplier#000031630  17                  
Supplier#000033614  17                  
Supplier#000037105  17                  
Supplier#000038373  17                  
Supplier#000040437  17                  
Supplier#000042101  17                  
Supplier#000046622  17                  
Supplier#000047831  17                  
Supplier#000049199  17                  
Supplier#000050160  17                  
Supplier#000050808  17                  
Supplier#000051190  17                  
Supplier#000052570  17                  
Supplier#000056300  17                  
Supplier#000067418  17                  
Supplier#000069393  17                  
Supplier#000069987  17                  
Supplier#000070422  17                  
Supplier#000072085  17                  
Supplier#000073317  17                  
Supplier#000073885  17                  
Supplier#000075520  17                  
Supplier#000076575  17                  
Supplier#000080308  17                  
Supplier#000081262  17                  
Supplier#000086866  17                  
Supplier#000089739  17                  
Supplier#000089949  17                  
Supplier#000090141  17                  
Supplier#000095186  17                  
Supplier#000097888  17                  
Supplier#000101024  17                  
Supplier#000102409  17                  
Supplier#000105866  17                  
Supplier#000110052  17                  
Supplier#000112787  17                  
Supplier#000116658  17                  
Supplier#000119847  17                  
Supplier#000121098  17                  
Supplier#000121688  17                  
Supplier#000125783  17                  
Supplier#000126604  17                  
Supplier#000128131  17                  
Supplier#000129497  17                  
Supplier#000136242  17                  
Supplier#000138213  17                  
Supplier#000139824  17                  
Supplier#000142172  17                  
Supplier#000142202  17                  
Supplier#000142830  17                  
Supplier#000145704  17                  
Supplier#000148251  17                  
Supplier#000151226  17                  
Supplier#000155411  17                  
Supplier#000157696  17                  
Supplier#000158132  17                  
Supplier#000159239  17                  
Supplier#000159286  17                  
Supplier#000159863  17                  
Supplier#000000709  16                  
Supplier#000002160  16                  
Supplier#000002322  16                  
Supplier#000002978  16                  
Supplier#000005194  16                  
Supplier#000007491  16                  
Supplier#000013983  16                  
Supplier#000014377  16                  
Supplier#000014455  16                  
Supplier#000016020  16                  
Supplier#000018281  16                  
Supplier#000020013  16                  
Supplier#000020116  16                  
Supplier#000020494  16                  
Supplier#000022757  16                  
Supplier#000024033  16                  
Supplier#000026864  16                  
Supplier#000028496  16                  
Supplier#000029056  16                  
Supplier#000031724  16                  
Supplier#000032274  16                  
Supplier#000035221  16                  
Supplier#000036707  16                  
Supplier#000038182  16                  
Supplier#000038382  16                  
Supplier#000040637  16                  
Supplier#000041221  16                  
Supplier#000043354  16                  
Supplier#000044913  16                  
Supplier#000044943  16                  
Supplier#000045637  16                  
Supplier#000045817  16                  
Supplier#000046480  16                  
Supplier#000046629  16                  
Supplier#000046970  16                  
Supplier#000048703  16                  
Supplier#000049397  16                  
Supplier#000050662  16                  
Supplier#000051474  16                  
Supplier#000052188  16                  
Supplier#000055667  16                  
Supplier#000056260  16                  
Supplier#000056273  16                  
Supplier#000056469  16                  
Supplier#000056578  16                  
Supplier#000057276  16                  
Supplier#000058514  16                  
Supplier#000060613  16                  
Supplier#000061901  16                  
Supplier#000065436  16                  
Supplier#000067926  16                  
Supplier#000073316  16                  
Supplier#000073439  16                  
Supplier#000074003  16                  
Supplier#000076085  16                  
Supplier#000077252  16                  
Supplier#000077448  16                  
Supplier#000077680  16                  
Supplier#000078538  16                  
Supplier#000081934  16                  
Supplier#000083142  16                  
Supplier#000083412  16                  
Supplier#000085409  16                  
Supplier#000085643  16                  
Supplier#000085950  16                  
Supplier#000088280  16                  
Supplier#000088928  16                  
Supplier#000089236  16                  
Supplier#000089589  16                  
Supplier#000090149  16                  
Supplier#000092483  16                  
Supplier#000092571  16                  
Supplier#000093243  16                  
Supplier#000093608  16                  
Supplier#000093942  16                  
Supplier#000095076  16                  
Supplier#000096710  16                  
Supplier#000100046  16                  
Supplier#000100620  16                  
Supplier#000103624  16                  
Supplier#000104524  16                  
Supplier#000105659  16                  
Supplier#000108031  16                  
Supplier#000110321  16                  
Supplier#000110471  16                  
Supplier#000111679  16                  
Supplier#000111877  16                  
Supplier#000112989  16                  
Supplier#000113432  16                  
Supplier#000115788  16                  
Supplier#000116572  16                  
Supplier#000117914  16                  
Supplier#000118084  16                  
Supplier#000118541  16                  
Supplier#000118646  16                  
Supplier#000118841  16                  
Supplier#000119377  16                  
Supplier#000123839  16                  
Supplier#000124118  16                  
Supplier#000127126  16                  
Supplier#000128965  16                  
Supplier#000132163  16                  
Supplier#000133803  16                  
Supplier#000135233  16                  
Supplier#000135701  16                  
Supplier#000135972  16                  
Supplier#000136182  16                  
Supplier#000136337  16                  
Supplier#000136492  16                  
Supplier#000136704  16                  
Supplier#000136852  16                  
Supplier#000137444  16                  
Supplier#000137465  16                  
Supplier#000137752  16                  
Supplier#000137789  16                  
Supplier#000138546  16                  
Supplier#000138960  16                  
Supplier#000139087  16                  
Supplier#000139383  16                  
Supplier#000139442  16                  
Supplier#000139685  16                  
Supplier#000142072  16                  
Supplier#000145465  16                  
Supplier#000145563  16                  
Supplier#000146675  16                  
Supplier#000147310  16                  
Supplier#000148083  16                  
Supplier#000148159  16                  
Supplier#000148489  16                  
Supplier#000149263  16                  
Supplier#000149671  16                  
Supplier#000149956  16                  
Supplier#000150810  16                  
Supplier#000151620  16                  
Supplier#000152411  16                  
Supplier#000152852  16                  
Supplier#000153738  16                  
Supplier#000153913  16                  
Supplier#000154413  16                  
Supplier#000158590  16                  
Supplier#000159064  16                  
Supplier#000002829  15                  
Supplier#000003645  15                  
Supplier#000005236  15                  
Supplier#000005583  15                  
Supplier#000006505  15                  
Supplier#000007441  15                  
Supplier#000007909  15                  
Supplier#000008094  15                  
Supplier#000008551  15                  
Supplier#000009543  15                  
Supplier#000009850  15                  
Supplier#000011260  15                  
Supplier#000011487  15                  
Supplier#000011874  15                  
Supplier#000012394  15                  
Supplier#000012471  15                  
