c_name              c_custkey           o_orderkey          o_orderdate         o_totalprice        sum                 
------------------------------------------------------------------------------------------------------------------------
Customer#000328669  328669              22897223            1998-01-24          564350.600000       309.000000          
Customer#000066835  66835               17366275            1998-01-14          539704.090000       316.000000          
Customer#000538331  538331              18449123            1993-09-30          537736.850000       313.000000          
Customer#000044407  44407               22220514            1992-12-26          535926.780000       306.000000          
Customer#000155789  155789              21135524            1992-11-22          532920.050000       320.000000          
Customer#000526468  526468              16139072            1993-02-28          526055.270000       304.000000          
Customer#000205100  205100              11231077            1994-05-27          522991.240000       304.000000          
Customer#000070978  70978               6882                1997-04-09          522208.580000       303.000000          
Customer#000512479  512479              4722021             1994-04-07          518421.750000       323.000000          
Customer#000430360  430360              4267751             1994-11-04          515053.980000       301.000000          
Customer#000472225  472225              19217698            1993-03-26          513954.570000       316.000000          
Customer#000084982  84982               23245603            1994-11-22          512795.590000       321.000000          
Customer#000373568  373568              5200102             1997-01-22          512720.600000       304.000000          
Customer#000392584  392584              20971013            1997-08-12          512586.960000       322.000000          
Customer#000025744  25744               7235014             1998-03-09          512289.910000       323.000000          
Customer#000267154  267154              2199712             1996-09-30          508120.890000       327.000000          
Customer#000192314  192314              16424550            1994-03-11          506369.700000       301.000000          
Customer#000266158  266158              7810823             1998-01-05          504801.930000       324.000000          
Customer#000519857  519857              6517825             1993-06-19          504526.520000       304.000000          
Customer#000494248  494248              14891232            1992-05-30          504038.750000       311.000000          
Customer#000072650  72650               17457767            1993-06-05          503899.820000       316.000000          
Customer#000133120  133120              6091649             1992-06-24          503890.980000       305.000000          
Customer#000282451  282451              22408480            1992-03-31          502992.310000       308.000000          
Customer#000372649  372649              9436480             1992-05-22          502428.450000       311.000000          
Customer#000118102  118102              14389831            1996-11-04          500496.740000       301.000000          
Customer#000005644  5644                12701702            1997-07-26          500471.140000       311.000000          
Customer#000522193  522193              20714883            1995-10-05          500222.680000       302.000000          
Customer#000072749  72749               3037414             1995-01-25          499839.580000       308.000000          
Customer#000081542  81542               20324257            1996-09-10          499799.650000       314.000000          
Customer#000035179  35179               10805828            1997-07-29          498871.970000       316.000000          
Customer#000228661  228661              21213895            1992-01-03          497703.860000       327.000000          
Customer#000384406  384406              5984582             1992-03-16          497339.600000       312.000000          
Customer#000049004  49004               735366              1993-11-24          496107.890000       309.000000          
Customer#000309040  309040              1436544             1992-09-12          495590.210000       307.000000          
Customer#000506014  506014              12845285            1993-05-25          495113.610000       304.000000          
Customer#000055760  55760               2232932             1997-04-13          494576.990000       304.000000          
Customer#000361367  361367              22789733            1997-06-18          494444.730000       303.000000          
Customer#000433150  433150              17272195            1993-07-13          494229.210000       308.000000          
Customer#000288991  288991              22513536            1993-06-11          493949.590000       302.000000          
Customer#000416989  416989              20693186            1992-03-08          493787.630000       309.000000          
Customer#000426763  426763              17701571            1992-04-03          493256.620000       309.000000          
Customer#000320272  320272              21530176            1992-07-10          493055.720000       301.000000          
Customer#000506584  506584              7456839             1994-07-14          492893.520000       311.000000          
Customer#000222151  222151              22040514            1997-09-22          492795.880000       308.000000          
Customer#000436813  436813              15373056            1996-11-07          492237.760000       301.000000          
Customer#000385234  385234              13683589            1995-06-08          492119.140000       313.000000          
Customer#000585004  585004              13841255            1997-12-08          491994.460000       302.000000          
Customer#000396769  396769              8574884             1992-07-04          491811.350000       308.000000          
Customer#000446252  446252              13165024            1992-06-29          490910.820000       318.000000          
Customer#000495140  495140              14875232            1994-06-21          488881.250000       308.000000          
Customer#000073477  73477               22855844            1996-01-15          488574.350000       307.000000          
Customer#000022081  22081               10906593            1996-03-16          488225.700000       308.000000          
Customer#000331522  331522              10678725            1992-12-07          486976.550000       309.000000          
Customer#000546007  546007              11785570            1996-07-18          486530.100000       303.000000          
Customer#000050395  50395               4259524             1998-02-12          486503.670000       304.000000          
Customer#000097363  97363               1474818             1992-11-15          485773.320000       302.000000          
Customer#000257926  257926              2745894             1996-07-04          484110.290000       304.000000          
