ps_partkey          value               
----------------------------------------
51105               20183298.820000     
623433              18319511.800000     
788784              17368412.790000     
37737               17303557.410000     
154271              17221884.310000     
394044              16968802.870000     
689706              16889183.190000     
235171              16870432.660000     
643848              16472020.740000     
535935              16359647.180000     
453903              16286514.240000     
659023              16146722.550000     
428613              16096651.150000     
779876              16057262.960000     
67238               15900577.040000     
582654              15760803.420000     
332647              15756258.160000     
261283              15628808.150000     
538645              15582310.300000     
613891              15539218.460000     
236238              15478817.390000     
704974              15472392.560000     
564357              15437028.600000     
27049               15338216.210000     
755440              15304422.770000     
82578               15236559.900000     
546298              15222229.350000     
13188               15099411.360000     
138091              14959998.810000     
38647               14909118.060000     
686265              14850176.770000     
779512              14794594.920000     
121562              14656078.720000     
537585              14617336.400000     
532297              14616157.890000     
68703               14510905.600000     
464676              14510115.520000     
548318              14495843.210000     
706736              14375692.080000     
40052               14339240.620000     
605166              14317294.660000     
549907              14309910.500000     
110366              14305579.730000     
424114              14296763.500000     
157826              14287602.500000     
111269              14215976.320000     
544590              14202471.350000     
613096              14201421.420000     
432047              14191756.040000     
463935              14184369.240000     
383837              14176935.880000     
212067              14157798.530000     
525256              14060000.040000     
576488              14054226.300000     
376411              14046965.810000     
751741              14037656.760000     
613761              14033365.140000     
706429              13989530.880000     
230623              13987437.200000     
547911              13979199.430000     
232077              13962242.950000     
280436              13953933.650000     
16397               13947916.050000     
582181              13942053.900000     
250025              13884068.590000     
562682              13879391.480000     
634814              13854648.620000     
280593              13850260.830000     
228034              13846902.350000     
761977              13828385.460000     
582165              13827793.900000     
244061              13814852.450000     
425875              13723363.430000     
742438              13716283.660000     
391163              13694379.320000     
353566              13690019.860000     
265178              13633647.360000     
187283              13622152.260000     
365248              13614880.360000     
500598              13611405.160000     
591079              13602908.190000     
243738              13594321.440000     
574172              13540269.140000     
561903              13526282.860000     
378796              13484223.360000     
784848              13450654.740000     
662020              13434670.880000     
793151              13424736.000000     
438650              13421227.620000     
36489               13420952.790000     
112432              13417849.830000     
712416              13413088.190000     
729034              13411678.840000     
48782               13365224.460000     
404264              13340807.320000     
667191              13336084.050000     
709672              13319336.590000     
254274              13197364.570000     
278305              13190212.120000     
675654              13185791.490000     
147126              13174484.740000     
101530              13165113.630000     
439088              13163600.850000     
399328              13144064.550000     
451037              13132254.430000     
490456              13123255.830000     
772843              13088115.560000     
613069              13084504.560000     
679290              13084290.380000     
419391              13082291.520000     
561689              13068471.120000     
38670               13006833.050000     
799742              13006830.070000     
29008               13004772.700000     
16429               13000433.550000     
571238              12988394.900000     
198818              12943574.600000     
768413              12942874.210000     
170424              12942242.560000     
519772              12939435.380000     
431389              12894509.030000     
171423              12876616.380000     
572946              12875668.400000     
443936              12872005.040000     
782435              12865874.380000     
270972              12818559.690000     
481550              12797973.440000     
338023              12769668.590000     
511659              12748307.440000     
68813               12747146.960000     
726770              12745901.240000     
701485              12743164.320000     
117543              12733759.480000     
636425              12729163.540000     
624356              12718886.490000     
388261              12709624.830000     
597155              12704510.000000     
628606              12680452.480000     
42682               12669611.740000     
125439              12651290.780000     
166147              12650594.040000     
423900              12648854.940000     
96434               12647240.700000     
92067               12642236.680000     
793514              12618314.380000     
650514              12551140.370000     
245306              12548992.040000     
362292              12535813.560000     
197656              12512050.420000     
465276              12511951.320000     
384035              12507592.330000     
331477              12495436.110000     
48437               12491259.020000     
60858               12478973.300000     
747264              12470482.490000     
753448              12464227.360000     
622862              12461448.810000     
408633              12457904.980000     
64858               12455829.440000     
524300              12443030.490000     
482865              12439751.130000     
139550              12422379.440000     
268896              12420261.420000     
494860              12414663.360000     
580370              12413553.200000     
666311              12413435.500000     
244499              12397282.050000     
535183              12392956.320000     
154196              12378927.270000     
219242              12378867.060000     
715654              12375115.580000     
592668              12367142.140000     
680950              12356571.660000     
112576              12350633.660000     
404616              12316635.450000     
231457              12304129.630000     
14731               12303439.520000     
722827              12301174.280000     
793440              12294303.840000     
46780               12259070.910000     
613725              12241342.160000     
76770               12238920.230000     
175192              12213348.020000     
417239              12209349.240000     
89465               12197041.640000     
356762              12189847.770000     
474605              12173326.050000     
672458              12165078.340000     
275235              12163328.520000     
696656              12154052.790000     
628612              12151305.810000     
772220              12146132.100000     
247258              12142157.230000     
57426               12137259.160000     
391220              12130984.020000     
245128              12129388.400000     
98630               12125768.330000     
129586              12116660.240000     
