s_name              numwait             
----------------------------------------
Supplier#000011260  23                  
Supplier#000019516  23                  
Supplier#000032207  22                  
Supplier#000006537  21                  
Supplier#000015084  21                  
Supplier#000002256  20                  
Supplier#000012350  20                  
Supplier#000034057  20                  
Supplier#000002993  19                  
Supplier#000003548  19                  
Supplier#000006505  19                  
Supplier#000021908  19                  
Supplier#000022143  19                  
Supplier#000025849  19                  
Supplier#000027204  19                  
Supplier#000029442  19                  
Supplier#000035901  19                  
Supplier#000001665  18                  
Supplier#000010152  18                  
Supplier#000010592  18                  
Supplier#000011655  18                  
Supplier#000017334  18                  
Supplier#000021093  18                  
Supplier#000021535  18                  
Supplier#000029102  18                  
Supplier#000035631  18                  
Supplier#000038130  18                  
Supplier#000000633  17                  
Supplier#000001054  17                  
Supplier#000002917  17                  
Supplier#000005578  17                  
Supplier#000006925  17                  
Supplier#000008354  17                  
Supplier#000012575  17                  
Supplier#000014455  17                  
Supplier#000016880  17                  
Supplier#000017584  17                  
Supplier#000020223  17                  
Supplier#000025529  17                  
Supplier#000028138  17                  
Supplier#000029207  17                  
Supplier#000030879  17                  
Supplier#000031462  17                  
Supplier#000002225  16                  
Supplier#000002323  16                  
Supplier#000005383  16                  
Supplier#000006027  16                  
Supplier#000008529  16                  
Supplier#000008996  16                  
Supplier#000010162  16                  
Supplier#000010934  16                  
Supplier#000011320  16                  
Supplier#000011752  16                  
Supplier#000012369  16                  
Supplier#000012874  16                  
Supplier#000013199  16                  
Supplier#000015152  16                  
Supplier#000015573  16                  
Supplier#000016829  16                  
Supplier#000017236  16                  
Supplier#000017338  16                  
Supplier#000018630  16                  
Supplier#000018980  16                  
Supplier#000019150  16                  
Supplier#000021171  16                  
Supplier#000024502  16                  
Supplier#000030515  16                  
Supplier#000032656  16                  
Supplier#000032777  16                  
Supplier#000035917  16                  
Supplier#000035974  16                  
Supplier#000037628  16                  
Supplier#000039841  16                  
Supplier#000039845  16                  
Supplier#000000379  15                  
Supplier#000001789  15                  
Supplier#000002483  15                  
Supplier#000002546  15                  
Supplier#000003777  15                  
Supplier#000005842  15                  
Supplier#000006757  15                  
Supplier#000007127  15                  
Supplier#000007668  15                  
Supplier#000007810  15                  
Supplier#000008739  15                  
Supplier#000009758  15                  
Supplier#000010857  15                  
Supplier#000011487  15                  
Supplier#000011647  15                  
Supplier#000014057  15                  
Supplier#000014785  15                  
Supplier#000015320  15                  
Supplier#000017283  15                  
Supplier#000017638  15                  
Supplier#000017877  15                  
Supplier#000019070  15                  
Supplier#000019137  15                  
Supplier#000019399  15                  
Supplier#000020104  15                  
Supplier#000024300  15                  
Supplier#000024448  15                  
Supplier#000024675  15                  
Supplier#000025909  15                  
Supplier#000026205  15                  
Supplier#000026544  15                  
Supplier#000027127  15                  
Supplier#000027779  15                  
Supplier#000028019  15                  
Supplier#000030998  15                  
Supplier#000032123  15                  
Supplier#000033854  15                  
Supplier#000034303  15                  
Supplier#000036093  15                  
Supplier#000037409  15                  
Supplier#000037432  15                  
Supplier#000037789  15                  
Supplier#000039681  15                  
Supplier#000000821  14                  
Supplier#000001337  14                  
Supplier#000001347  14                  
Supplier#000001456  14                  
Supplier#000001944  14                  
Supplier#000002410  14                  
Supplier#000002846  14                  
Supplier#000002990  14                  
Supplier#000003075  14                  
Supplier#000003248  14                  
Supplier#000004169  14                  
Supplier#000004786  14                  
Supplier#000005347  14                  
Supplier#000005390  14                  
Supplier#000005568  14                  
Supplier#000005997  14                  
Supplier#000006378  14                  
Supplier#000007142  14                  
Supplier#000007896  14                  
Supplier#000008136  14                  
Supplier#000008702  14                  
Supplier#000008718  14                  
Supplier#000009179  14                  
Supplier#000010741  14                  
Supplier#000011235  14                  
Supplier#000011444  14                  
Supplier#000012316  14                  
Supplier#000013321  14                  
Supplier#000014208  14                  
Supplier#000014431  14                  
Supplier#000014466  14                  
Supplier#000015247  14                  
Supplier#000015387  14                  
Supplier#000015877  14                  
Supplier#000015882  14                  
Supplier#000016377  14                  
Supplier#000016466  14                  
Supplier#000016694  14                  
Supplier#000016771  14                  
Supplier#000017076  14                  
