l_orderkey          revenue             o_orderdate         o_shippriority      
--------------------------------------------------------------------------------
21679558            442394.396600       1995-01-17          0                   
8443557             429378.658100       1995-03-12          0                   
10631491            423595.950200       1995-03-14          0                   
20841824            421258.042400       1995-03-08          0                   
11568359            418888.559100       1995-03-13          0                   
10725895            399668.422700       1995-03-12          0                   
20811973            399662.471000       1995-02-13          0                   
17937728            396726.328900       1995-03-12          0                   
6128295             393717.723100       1995-03-05          0                   
21236614            392019.322500       1995-03-14          0                   
13946112            391537.154200       1995-03-08          0                   
17274565            387939.196500       1995-03-13          0                   
14579109            387503.892600       1995-03-07          0                   
4736678             383267.669300       1995-03-03          0                   
18344033            382807.387400       1995-02-11          0                   
3386209             382784.808000       1995-03-10          0                   
15655777            381756.780400       1995-02-23          0                   
21796837            381371.184600       1995-03-06          0                   
2192676             380806.815400       1995-03-07          0                   
10569984            380702.973200       1995-03-07          0                   
10569575            379598.433900       1995-01-22          0                   
4780262             374790.461400       1995-03-14          0                   
9169123             373712.021300       1995-02-19          0                   
19111968            371267.686800       1995-02-09          0                   
22365829            369159.479300       1995-03-01          0                   
4129095             369008.826100       1995-02-17          0                   
9586019             368499.993800       1995-03-12          0                   
23615776            368279.708800       1995-03-04          0                   
590593              367350.160700       1995-03-12          0                   
14526819            367144.161400       1995-03-11          0                   
14183200            365383.904900       1995-03-14          0                   
15412679            365065.295700       1995-03-07          0                   
3012992             364923.636900       1995-03-12          0                   
17663136            364700.822600       1995-03-06          0                   
12286183            364659.488500       1995-02-25          0                   
15687333            363741.089400       1995-02-24          0                   
22453922            363659.123500       1995-03-07          0                   
10363687            363489.749700       1995-03-05          0                   
18884037            363031.253700       1995-02-24          0                   
17778529            361244.243500       1995-03-14          0                   
11671879            361090.684200       1995-02-21          0                   
12113953            360765.035100       1995-03-13          0                   
6839458             360549.220800       1995-03-12          0                   
6953059             360239.488800       1995-02-05          0                   
4332833             360211.201800       1995-03-13          0                   
1166660             360092.266800       1995-02-27          0                   
19717159            359850.076000       1995-02-17          0                   
7096259             359504.680600       1995-03-12          0                   
1648131             359253.921400       1995-03-10          0                   
891490              359233.409800       1995-03-08          0                   
19328068            358728.101000       1995-03-02          0                   
8326946             358688.792400       1995-03-09          0                   
14155559            358668.695100       1995-02-10          0                   
4126753             358363.523600       1995-03-14          0                   
22158176            358255.758000       1995-03-14          0                   
667431              357632.890200       1995-03-14          0                   
23011552            357136.917100       1995-02-26          0                   
19933255            356931.306000       1995-03-04          0                   
14973351            356797.456300       1995-02-19          0                   
6819494             356664.427000       1995-03-06          0                   
16055488            353641.207200       1995-03-07          0                   
23319585            353397.813400       1995-03-02          0                   
22396709            353045.888400       1995-03-05          0                   
6361733             352912.730600       1995-03-03          0                   
17647104            352048.737600       1995-02-27          0                   
12995879            351704.955400       1995-02-07          0                   
22298532            351696.007400       1995-02-22          0                   
15428454            350980.392400       1995-03-09          0                   
15174567            350965.274000       1995-03-01          0                   
820962              350411.804600       1995-02-11          0                   
16294341            350189.449300       1995-02-17          0                   
15276546            349991.240600       1995-03-10          0                   
12613925            349933.198000       1995-01-31          0                   
1188320             349887.554000       1995-03-09          0                   
13089157            349704.298000       1995-01-13          0                   
9663747             349636.097600       1995-03-11          0                   
7100033             349287.483000       1995-03-04          0                   
12036352            348949.011600       1995-03-11          0                   
13949186            348924.057700       1995-03-07          0                   
5072611             348461.440100       1995-02-21          0                   
13780935            348268.044700       1995-03-02          0                   
4837957             348078.116500       1995-02-21          0                   
7373186             347307.862500       1995-02-22          0                   
13444961            347096.863400       1995-02-22          0                   
12592448            346882.520900       1995-03-04          0                   
12664801            346498.747800       1995-03-03          0                   
14611680            346453.741800       1995-01-18          0                   
