s_name              s_address           
----------------------------------------
Supplier#000000013  HK71HQyWoqRWOX8GI FpgAifW,2PoH
Supplier#000000091  YV45D7TkfdQanOOZ7q9QxkyGUapU1oOWU6q3
Supplier#000000197  YC2Acon6kjY3zj3Fbxs2k4Vdf7X0cd2F
Supplier#000000226  83qOdU2EYRdPQAQhEtn GRZEd
Supplier#000000287  7a9SP7qW5Yku5PvSg   
Supplier#000000358  V3yxhHhHSXqOoc5UPv5TwkVDGKQsG
Supplier#000000378  FfbhyCxWvcPrO8ltp9  
Supplier#000000530  0qwCMwobKY OcmLyfRXlagA8ukENJv,
Supplier#000000640  mvvtlQKsTOsJj5Ihk7,cq
Supplier#000000657  nas2fhRwM97W8EEqYpBN
Supplier#000000688  D fw5ocppmZpYBBIPI718hCihLDZ5KhKX
Supplier#000000752  l cHMtEnodxj3FV     
Supplier#000000783  dMpZwZ95xznZWg4acMQW dK8AQMhB
Supplier#000000848  tx44JAuF,Jnw1       
Supplier#000000935  ij98czM 2KzWe7dDTOxB8sq0UfCdvrX
Supplier#000000997  7eUWMrOCKCp2JYas6P4mL93eaWIOtKKWtTX
Supplier#000001123  n5L 4Otbff3oXbr0Ibs 
Supplier#000001245  bztTCfHZnsLafgtZWe,isV Gr 4IFg
Supplier#000001399  LmrocnIMSyYOWuANx7  
Supplier#000001446  lch9HMNU1R7a0LIybsUodVknk6
Supplier#000001454  TOpimgu2TVXIjhiL93h,
Supplier#000001501  xL06,Y 2M3CjPr      
Supplier#000001528  it4EmP9yhW0IZvUnapbYfoKXVvY2
Supplier#000001600  Wli6lXwUVA4SSle lr0iA2VaJZt
Supplier#000001700  7hMlCof1Y5zLFg      
Supplier#000001722  h3CJRmiahabx        
Supplier#000001730  Rc8e,1Pybn r6zo0VJIEiD0UD vhk
Supplier#000001746  qWsendlOekQG1aW4uq06uQaCm51se8lirv7 hBRd
Supplier#000001806  M934fuZSnLW         
Supplier#000001856  jXcRgzYF0ah05iR8p6w5SbJJLcUGyYiURPvFwUWM
Supplier#000001873  Tdzlitffjp,Qv7bB3mWthF8
Supplier#000001939  Nrk,JA4bfReUs       
Supplier#000001958  bJAZFisYzqSFaspq2XQOVwrEpGgtTe9 1ccU9RJ
Supplier#000001990  DSDJkCgBJzuPg1yuM,CUdLnsRliOxkkHezTCA
Supplier#000002020  jB6r1d7MxP6co       
Supplier#000002036  20ytTtVObjKUUI2WCB0A
Supplier#000002264  dBDsb7P6EcVLsX      
Supplier#000002331  WRh2w5WFvRg7Z0S1AvSvHCL
Supplier#000002481  nLKHUOn2Ml9TOA06Znq9GEMcIlMO2
Supplier#000002494  8 j3qJvL6qjroE avAdKFooKo4IMH2oPHLXH0H9p
Supplier#000002875  6JgMi 9Qt6VmwL3Ltt1SRlKww0keLQ,RAZa
Supplier#000002934  m,trBENywSArwg3DhB  
Supplier#000002941  Naddba 8YTEKekZyP0  
Supplier#000002980  B9k9yVsyaXvWktOSHezqHiAEp9id0SKzkw
Supplier#000003062  LSQNgqY1xnOzz9zBCapy7HwOZQ
Supplier#000003109  2WfTvl8mtHqnyueg7Ki 
Supplier#000003169  ODz6ABJGTs8Qnz      
