nation              o_year              sum_profit          
------------------------------------------------------------
ALGERIA             1998                52527810.574200     
ALGERIA             1997                91379202.640000     
ALGERIA             1996                93836197.065700     
ALGERIA             1995                89800564.535000     
ALGERIA             1994                89526473.059400     
ALGERIA             1993                87920033.528500     
ALGERIA             1992                93186212.298200     
ARGENTINA           1998                55528362.337900     
ARGENTINA           1997                99194949.736200     
ARGENTINA           1996                100693326.118100    
ARGENTINA           1995                96543938.781100     
ARGENTINA           1994                96674433.398600     
ARGENTINA           1993                100203965.645400    
ARGENTINA           1992                94973581.344100     
BRAZIL              1998                55584556.554000     
BRAZIL              1997                95448069.949800     
BRAZIL              1996                93489511.972200     
BRAZIL              1995                92535435.184800     
BRAZIL              1994                95892624.304000     
BRAZIL              1993                95655670.927900     
BRAZIL              1992                95986997.667800     
CANADA              1998                55915189.501400     
CANADA              1997                96363457.579100     
CANADA              1996                97861347.817400     
CANADA              1995                99821786.029300     
CANADA              1994                96735489.113800     
CANADA              1993                98726592.642900     
CANADA              1992                97133604.583600     
CHINA               1998                57379731.117700     
CHINA               1997                99751222.608100     
CHINA               1996                95902314.364000     
CHINA               1995                97360190.559900     
CHINA               1994                98719525.291300     
CHINA               1993                97850232.580500     
CHINA               1992                94009013.633600     
EGYPT               1998                53124076.534500     
EGYPT               1997                91183512.121600     
EGYPT               1996                90957680.802900     
EGYPT               1995                94312762.227900     
EGYPT               1994                93033521.036500     
EGYPT               1993                90796688.465600     
EGYPT               1992                88710915.523300     
ETHIOPIA            1998                48656138.083600     
ETHIOPIA            1997                84671932.315200     
ETHIOPIA            1996                86850659.895900     
ETHIOPIA            1995                87921106.079300     
ETHIOPIA            1994                86080771.157800     
ETHIOPIA            1993                83497073.568300     
ETHIOPIA            1992                86793033.640400     
FRANCE              1998                53148751.901800     
FRANCE              1997                89141623.758700     
FRANCE              1996                90951561.543500     
FRANCE              1995                88914620.616000     
FRANCE              1994                92136608.530100     
FRANCE              1993                89491625.929600     
FRANCE              1992                91273565.234800     
GERMANY             1998                51690617.867600     
GERMANY             1997                96818129.238700     
GERMANY             1996                95113202.789000     
GERMANY             1995                94361431.044700     
GERMANY             1994                91908144.279500     
GERMANY             1993                93059626.145100     
GERMANY             1992                94761590.982700     
INDIA               1998                52991890.250500     
INDIA               1997                88622825.990700     
INDIA               1996                89866321.487800     
INDIA               1995                92350943.406600     
INDIA               1994                89375401.404600     
INDIA               1993                88255827.058700     
INDIA               1992                91107131.438500     
INDONESIA           1998                61353102.157500     
INDONESIA           1997                102702417.692500    
INDONESIA           1996                97908304.784100     
INDONESIA           1995                101847802.883400    
INDONESIA           1994                100361827.556200    
INDONESIA           1993                100108180.910800    
INDONESIA           1992                99838006.818100     
IRAN                1998                53939404.939600     
IRAN                1997                94351938.519300     
