l_orderkey          revenue             o_orderdate         o_shippriority      
--------------------------------------------------------------------------------
4791171             453064.036600       1995-02-23          0                   
9806272             436376.658200       1995-03-13          0                   
11568359            434043.043500       1995-03-13          0                   
7462725             407777.663100       1995-02-23          0                   
11982337            401634.953700       1995-02-15          0                   
4178471             401044.976700       1995-02-28          0                   
6474405             400417.063200       1995-03-01          0                   
7707809             397651.571700       1995-03-06          0                   
10671716            395659.895500       1995-02-28          0                   
8210311             393017.059000       1995-02-23          0                   
11249635            392460.495400       1995-02-23          0                   
11139108            389804.923700       1995-02-23          0                   
11292038            386709.739200       1995-03-07          0                   
3355202             384757.972500       1995-03-04          0                   
7121220             382100.234500       1995-01-13          0                   
9219494             381417.081800       1995-01-31          0                   
11041984            381210.337700       1995-03-01          0                   
389344              381001.439400       1995-03-13          0                   
9816965             379289.962000       1995-03-10          0                   
4780262             374645.998600       1995-03-14          0                   
11997541            374379.168900       1995-03-07          0                   
1670759             371988.991900       1995-02-20          0                   
519556              371368.540800       1995-02-15          0                   
2979175             370652.803000       1995-02-27          0                   
6983143             370321.926500       1995-02-24          0                   
8219911             370058.414900       1995-03-11          0                   
2628192             369828.124200       1995-02-22          0                   
3943810             369425.522500       1995-02-15          0                   
7995524             367176.877500       1995-03-05          0                   
590593              366529.838600       1995-03-12          0                   
10363687            364514.121900       1995-03-05          0                   
10725895            363649.164300       1995-03-12          0                   
993600              363106.766500       1995-03-05          0                   
7218950             362047.814300       1995-02-21          0                   
4981446             361406.742400       1995-02-28          0                   
11668642            360788.662400       1995-03-06          0                   
5901729             360770.978500       1995-03-03          0                   
10142629            360717.245000       1994-12-30          0                   
5660420             360112.994500       1995-03-08          0                   
2677313             359365.096400       1995-03-01          0                   
10109249            358721.066600       1995-03-11          0                   
11892323            357648.638300       1995-03-10          0                   
5892132             355988.756400       1995-02-03          0                   
9035943             355428.577600       1995-03-01          0                   
5521732             355157.251500       1995-03-13          0                   
1708417             354030.415600       1995-03-05          0                   
564738              353625.141300       1995-03-06          0                   
10907972            353579.546700       1995-03-12          0                   
11875815            353533.780200       1995-03-02          0                   
10170498            352980.052000       1995-03-05          0                   
11186310            350385.873800       1995-02-23          0                   
9412129             349471.398000       1995-03-09          0                   
9385445             349311.097300       1995-02-16          0                   
9023776             349278.898200       1995-03-13          0                   
9797413             348718.796200       1995-02-24          0                   
4860004             347476.409500       1995-02-22          0                   
10631491            347351.130800       1995-03-14          0                   
3718405             347182.843800       1995-02-20          0                   
2284166             346348.287900       1995-01-27          0                   
7937668             345544.481000       1995-03-03          0                   
7290723             344620.414600       1995-03-14          0                   
10569575            344044.121700       1995-01-22          0                   
10896358            343472.310600       1995-02-28          0                   
7792804             342730.823700       1995-02-18          0                   
1444257             342724.366200       1995-03-10          0                   
6937029             342636.920200       1995-03-14          0                   
2536642             342402.727100       1995-03-02          0                   
9781190             342275.408900       1995-02-01          0                   
155972              342157.577200       1995-01-08          0                   
11322625            341776.188100       1995-03-14          0                   
1124067             341645.376900       1995-03-12          0                   
3012992             341580.246700       1995-03-12          0                   
4675302             341397.595600       1995-03-11          0                   
4469152             340494.964700       1995-03-13          0                   
6832033             339394.438100       1995-02-15          0                   
4829443             339277.839700       1995-02-09          0                   
8746243             339226.790500       1995-03-08          0                   
8058883             338973.932100       1995-03-05          0                   
11239141            338539.156000       1995-03-13          0                   
183974              338214.089600       1995-03-01          0                   
1356001             337839.394300       1995-03-02          0                   
10224389            337745.941100       1995-01-23          0                   
11003361            337198.398800       1995-02-25          0                   
5001155             336806.158000       1995-03-14          0                   
6604579             336690.170700       1995-03-05          0                   
6827136             336356.009800       1995-02-17          0                   
4837957             335890.706200       1995-02-21          0                   
3683330             335477.230800       1995-01-31          0                   
771396              335228.928400       1995-01-30          0                   
5900512             335156.291800       1995-02-20          0                   
