c_count             custdist            
----------------------------------------
0                   100004              
10                  13177               
9                   13008               
11                  12399               
8                   11781               
12                  11252               
13                  9993                
19                  9298                
18                  9237                
7                   9225                
20                  9063                
17                  9029                
14                  9026                
15                  8802                
16                  8794                
21                  8522                
22                  7497                
6                   6519                
23                  6424                
24                  5382                
25                  4192                
5                   3968                
26                  3160                
27                  2360                
4                   2028                
28                  1646                
29                  1174                
3                   832                 
30                  752                 
31                  468                 
32                  297                 
2                   251                 
33                  176                 
34                  87                  
35                  60                  
36                  43                  
1                   43                  
37                  19                  
38                  6                   
39                  5                   
44                  1                   
