c_name              c_custkey           o_orderkey          o_orderdate         o_totalprice        sum                 
------------------------------------------------------------------------------------------------------------------------
Customer#000256240  256240              4722021             1994-04-07          543948.470000       323.000000          
Customer#000192203  192203              5984582             1992-03-16          539085.200000       312.000000          
Customer#000273004  273004              11785570            1996-07-18          535097.550000       303.000000          
Customer#000198385  198385              8574884             1992-07-04          530902.090000       308.000000          
Customer#000186325  186325              9436480             1992-05-22          523925.490000       311.000000          
Customer#000048682  48682               1474818             1992-11-15          522718.600000       302.000000          
Customer#000027880  27880               2232932             1997-04-13          519887.440000       304.000000          
Customer#000082297  82297               8231942             1993-02-06          516398.500000       302.000000          
Customer#000176644  176644              10889601            1992-05-22          513824.710000       306.000000          
Customer#000258475  258475              7125602             1994-07-08          509018.850000       301.000000          
Customer#000082924  82924               8639938             1996-08-30          506857.550000       301.000000          
Customer#000289234  289234              3043270             1997-02-12          506502.670000       317.000000          
Customer#000257966  257966              10184165            1992-06-15          500779.450000       311.000000          
Customer#000231161  231161              6082306             1995-07-07          499300.650000       301.000000          
Customer#000017590  17590               10805828            1997-07-29          499282.790000       316.000000          
Customer#000012872  12872               7235014             1998-03-09          498544.920000       323.000000          
Customer#000007132  7132                2329187             1998-01-04          497819.150000       304.000000          
Customer#000154520  154520              1436544             1992-09-12          497547.160000       307.000000          
Customer#000133079  133079              7810823             1998-01-05          497225.420000       324.000000          
Customer#000085928  85928               9816576             1997-06-06          493077.260000       308.000000          
Customer#000259930  259930              6517825             1993-06-19          492510.430000       304.000000          
Customer#000035489  35489               6882                1997-04-09          492020.590000       303.000000          
Customer#000021964  21964               10408580            1994-09-03          491756.490000       320.000000          
Customer#000264373  264373              7165026             1995-05-29          489832.540000       304.000000          
Customer#000273143  273143              2761378             1996-05-31          487706.650000       301.000000          
Customer#000294394  294394              1263015             1997-02-02          487266.350000       320.000000          
Customer#000253292  253292              7456839             1994-07-14          487026.150000       311.000000          
Customer#000066560  66560               6091649             1992-06-24          484643.210000       305.000000          
Customer#000258757  258757              4720454             1997-06-07          483065.200000       303.000000          
Customer#000133438  133438              6515330             1997-01-27          481858.580000       307.000000          
Customer#000024502  24502               735366              1993-11-24          481339.950000       309.000000          
Customer#000032767  32767               502886              1994-04-12          479519.450000       312.000000          
Customer#000100013  100013              2366755             1996-12-09          478797.190000       302.000000          
Customer#000066797  66797               11028230            1996-08-10          478260.320000       302.000000          
Customer#000021881  21881               10612710            1995-02-05          477909.930000       319.000000          
Customer#000232087  232087              8754087             1996-01-21          477273.910000       306.000000          
Customer#000118958  118958              8028004             1996-04-11          477088.340000       302.000000          
Customer#000206551  206551              7062629             1992-06-27          476712.500000       313.000000          
Customer#000069115  69115               8991333             1995-04-10          476643.290000       305.000000          
Customer#000073237  73237               4806726             1995-01-17          475126.600000       328.000000          
Customer#000102550  102550              11231077            1994-05-27          474885.580000       304.000000          
Customer#000094636  94636               11484962            1992-02-10          474637.230000       306.000000          
Customer#000274891  274891              5489475             1997-05-23          472628.400000       311.000000          
Customer#000233716  233716              6222658             1994-03-08          472060.770000       301.000000          
Customer#000133577  133577              2199712             1996-09-30          471613.590000       327.000000          
Customer#000100295  100295              9304229             1997-08-24          471230.830000       309.000000          
Customer#000215180  215180              4267751             1994-11-04          470850.410000       301.000000          
Customer#000023455  23455               8506019             1992-12-16          470729.760000       306.000000          
Customer#000014002  14002               6899299             1995-06-09          470680.000000       304.000000          
Customer#000128963  128963              2745894             1996-07-04          469644.060000       304.000000          
Customer#000000662  662                 6210853             1997-08-08          468532.200000       303.000000          
Customer#000132196  132196              5007490             1992-08-07          468280.080000       304.000000          
Customer#000165761  165761              10678725            1992-12-07          467972.030000       309.000000          
Customer#000145120  145120              9506693             1993-07-20          467907.670000       314.000000          
Customer#000011041  11041               10906593            1996-03-16          467027.120000       308.000000          
Customer#000177751  177751              983201              1993-12-30          467006.490000       304.000000          
Customer#000299683  299683              5156581             1994-05-30          465109.590000       302.000000          
Customer#000031238  31238               3767271             1996-08-07          464369.610000       318.000000          
Customer#000186784  186784              5200102             1997-01-22          463001.540000       304.000000          
Customer#000210520  210520              5296167             1996-09-06          462985.120000       303.000000          
Customer#000025198  25198               4259524             1998-02-12          459692.130000       304.000000          
Customer#000218758  218758              5746311             1996-10-10          458654.750000       302.000000          
Customer#000232682  232682              11141606            1997-09-28          458531.430000       325.000000          
Customer#000020257  20257               5849444             1994-03-21          457991.430000       309.000000          
Customer#000149837  149837              7611718             1992-05-01          457280.640000       301.000000          
Customer#000031261  31261               1845057             1994-05-12          456727.120000       302.000000          
Customer#000091076  91076               4527553             1994-05-22          454287.750000       305.000000          
Customer#000075458  75458               4134341             1995-06-29          452919.890000       309.000000          
Customer#000121946  121946              10603495            1998-04-03          451679.520000       307.000000          
