s_name              s_address           
----------------------------------------
Supplier#000000013  HK71HQyWoqRWOX8GI FpgAifW,2PoH
Supplier#000000091  YV45D7TkfdQanOOZ7q9QxkyGUapU1oOWU6q3
Supplier#000000157  ,mEGorBfVIm         
Supplier#000000205  rF uV8d0JNEk        
Supplier#000000226  83qOdU2EYRdPQAQhEtn GRZEd
Supplier#000000285  Br7e1nnt1yxrw6ImgpJ7YdhFDjuBf
Supplier#000000354  w8fOo5W,aS          
Supplier#000000361  f8IUYRmdVXhQC9qJQjWknCXmzhe38vCbk6
Supplier#000000378  FfbhyCxWvcPrO8ltp9  
Supplier#000000431  WoeV,NINojE6hJjauAdrl5fGcdxX5JUPLnrim
Supplier#000000530  0qwCMwobKY OcmLyfRXlagA8ukENJv,
Supplier#000000555  TfB,a5bfl3Ah 3Z 74GqnNs6zKVGM
Supplier#000000640  mvvtlQKsTOsJj5Ihk7,cq
Supplier#000000657  nas2fhRwM97W8EEqYpBN
Supplier#000000688  D fw5ocppmZpYBBIPI718hCihLDZ5KhKX
Supplier#000000729  pqck2ppy758TQpZCUAjPvlU55K3QjfL7Bi
Supplier#000000736  l6i2nMwVuovfKnuVgaSGK2rDy65DlAFLegiL7
Supplier#000000783  dMpZwZ95xznZWg4acMQW dK8AQMhB
Supplier#000000848  tx44JAuF,Jnw1       
Supplier#000000884  bmhEShejaS          
Supplier#000000935  ij98czM 2KzWe7dDTOxB8sq0UfCdvrX
Supplier#000000971  23XaUVLYuC3tQIPHCuLLgM5UawL
Supplier#000001033  A6x1P,56sVHkb4DqVyUw32n,ChI
Supplier#000001245  bztTCfHZnsLafgtZWe,isV Gr 4IFg
Supplier#000001367  42YSkFcAXMMcucsqeEefOE4HeCC
Supplier#000001426  bPOCc086oFm8sLtS,fGrH
Supplier#000001446  lch9HMNU1R7a0LIybsUodVknk6
Supplier#000001447  Y6nbeZmxx9J0j,1PLvpljga qvtV0e3ehThVjXMf
Supplier#000001501  xL06,Y 2M3CjPr      
Supplier#000001528  it4EmP9yhW0IZvUnapbYfoKXVvY2
Supplier#000001602  uKNWIeafaM644       
Supplier#000001624  ISkTuv6KLp9AcxdWRGJ8 ey,r56tQ9DozGP
Supplier#000001693  eyOiCRnurWys75HSWkBONbM3m8u9ESsN3Rml,
Supplier#000001700  7hMlCof1Y5zLFg      
Supplier#000001726  TeRY7TtTH24sEword7yAaSkjx8
Supplier#000001806  M934fuZSnLW         
Supplier#000001855  MWk6EAeozXb         
Supplier#000001856  jXcRgzYF0ah05iR8p6w5SbJJLcUGyYiURPvFwUWM
Supplier#000001873  Tdzlitffjp,Qv7bB3mWthF8
Supplier#000001939  Nrk,JA4bfReUs       
Supplier#000002020  jB6r1d7MxP6co       
Supplier#000002117  MRtkgKolHJ9Wh X9J,urANHKDzvjr
Supplier#000002218  nODZw5q4dx kp0K5    
Supplier#000002241  iGV,9clV9LwufQVVqiOO1plFx
Supplier#000002245  hz2qWXWVjOyKhqPYMoEwz6zFkrTaDM
Supplier#000002264  dBDsb7P6EcVLsX      
Supplier#000002272  tQdSwOifi4AkfJh     
Supplier#000002331  WRh2w5WFvRg7Z0S1AvSvHCL
