c_count             custdist            
----------------------------------------
0                   400018              
10                  52545               
9                   51936               
11                  49192               
8                   46941               
12                  45272               
13                  39645               
18                  37209               
19                  37149               
7                   37050               
20                  36516               
14                  36480               
17                  36202               
15                  35148               
16                  35119               
21                  34111               
22                  29972               
6                   26227               
23                  25851               
24                  21266               
25                  16941               
5                   15941               
26                  12704               
27                  9379                
4                   8023                
28                  6573                
29                  4433                
3                   3306                
30                  2956                
31                  1881                
32                  1211                
2                   1010                
33                  675                 
34                  401                 
35                  230                 
1                   227                 
36                  137                 
37                  65                  
38                  27                  
39                  14                  
40                  9                   
41                  5                   
43                  2                   
42                  1                   
