nation              o_year              sum_profit          
------------------------------------------------------------
ALGERIA             1998                215064391.687300    
ALGERIA             1997                366804626.083700    
ALGERIA             1996                372614064.897000    
ALGERIA             1995                363572674.232100    
ALGERIA             1994                370864219.755900    
ALGERIA             1993                368764459.302400    
ALGERIA             1992                373046171.941800    
ARGENTINA           1998                220240896.454500    
ARGENTINA           1997                379913821.113200    
ARGENTINA           1996                386132879.073900    
ARGENTINA           1995                380659514.315000    
ARGENTINA           1994                385659873.074300    
ARGENTINA           1993                382008153.521900    
ARGENTINA           1992                384875862.363800    
BRAZIL              1998                216841611.779200    
BRAZIL              1997                368541909.360100    
BRAZIL              1996                373947053.300900    
BRAZIL              1995                371931579.193300    
BRAZIL              1994                374339437.492300    
BRAZIL              1993                371361692.222200    
BRAZIL              1992                367267336.410900    
CANADA              1998                226239922.234500    
CANADA              1997                385061000.436600    
CANADA              1996                379546190.362400    
CANADA              1995                385374763.754000    
CANADA              1994                383368049.290600    
CANADA              1993                376336145.865200    
CANADA              1992                378336138.009000    
CHINA               1998                218889506.208300    
CHINA               1997                379856026.843600    
CHINA               1996                376903778.772600    
CHINA               1995                372722641.954800    
CHINA               1994                380220421.004500    
CHINA               1993                379991062.237000    
CHINA               1992                382853367.363300    
EGYPT               1998                220061247.972500    
EGYPT               1997                375124327.282100    
EGYPT               1996                379187317.584200    
EGYPT               1995                374816452.445700    
EGYPT               1994                374166915.136700    
EGYPT               1993                374146748.471300    
EGYPT               1992                377422085.006700    
ETHIOPIA            1998                218120418.815200    
ETHIOPIA            1997                367513896.089100    
ETHIOPIA            1996                368670288.981500    
ETHIOPIA            1995                359820477.469900    
ETHIOPIA            1994                360606390.770100    
ETHIOPIA            1993                370687300.823500    
ETHIOPIA            1992                373275232.951900    
FRANCE              1998                212793607.813100    
FRANCE              1997                360924657.809200    
FRANCE              1996                366271065.883900    
FRANCE              1995                375151002.721200    
FRANCE              1994                361876676.591600    
FRANCE              1993                366902764.672300    
FRANCE              1992                360740559.975300    
GERMANY             1998                218900112.616300    
GERMANY             1997                376689892.449400    
GERMANY             1996                374822391.253100    
GERMANY             1995                372166545.298400    
GERMANY             1994                372796765.468500    
GERMANY             1993                378634486.616600    
GERMANY             1992                368501246.630300    
INDIA               1998                224304249.278400    
INDIA               1997                380877175.075700    
INDIA               1996                381655165.249300    
INDIA               1995                381995231.234600    
INDIA               1994                379992711.135600    
INDIA               1993                386252013.942200    
INDIA               1992                384414599.203100    
INDONESIA           1998                215682153.915400    
INDONESIA           1997                377085575.176500    
INDONESIA           1996                366470307.157700    
INDONESIA           1995                372911298.762500    
INDONESIA           1994                380018686.064400    
INDONESIA           1993                380373205.374500    
INDONESIA           1992                370899336.707500    
IRAN                1998                211987117.770900    
IRAN                1997                371351905.098100    
IRAN                1996                375010064.703500    
IRAN                1995                369489769.816900    
IRAN                1994                361786061.422500    
IRAN                1993                370232300.464200    
IRAN                1992                366477015.525400    
IRAQ                1998                221327137.881500    
IRAQ                1997                381504176.648000    
IRAQ                1996                377892997.624900    
IRAQ                1995                385494687.260300    
IRAQ                1994                379615148.580100    
IRAQ                1993                391131398.118000    
IRAQ                1992                375285655.542300    
JAPAN               1998                213456457.464800    
JAPAN               1997                367569987.486300    
JAPAN               1996                367699892.907000    
JAPAN               1995                370000731.848699    
JAPAN               1994                366321862.416300    
JAPAN               1993                371099077.819000    
JAPAN               1992                372026290.672900    
JORDAN              1998                219141441.886400    
JORDAN              1997                363847015.221500    
JORDAN              1996                376349132.440900    
JORDAN              1995                362019643.468100    
JORDAN              1994                363921431.309800    
JORDAN              1993                361311008.958300    
JORDAN              1992                369326874.271500    
KENYA               1998                221635848.533000    
KENYA               1997                368910380.324500    
KENYA               1996                369487562.227100    
KENYA               1995                367165438.884400    
KENYA               1994                372017660.133700    
KENYA               1993                372010086.965200    
KENYA               1992                375893619.057300    
MOROCCO             1998                220239778.680700    
MOROCCO             1997                381209268.380800    
MOROCCO             1996                381060477.997900    
MOROCCO             1995                380720616.894700    
MOROCCO             1994                379093550.389000    
MOROCCO             1993                377301813.002300    
MOROCCO             1992                378763812.866200    
MOZAMBIQUE          1998                211865938.139900    
MOZAMBIQUE          1997                376014690.072600    
MOZAMBIQUE          1996                362285836.346100    
MOZAMBIQUE          1995                367341465.710100    
MOZAMBIQUE          1994                362121480.292500    
MOZAMBIQUE          1993                364715061.133300    
MOZAMBIQUE          1992                367406506.386400    
PERU                1998                219953470.866000    
PERU                1997                375145778.138699    
PERU                1996                379723400.507100    
PERU                1995                382251065.838300    
PERU                1994                381262852.252400    
PERU                1993                381155678.316500    
PERU                1992                379055753.554900    
ROMANIA             1998                222343963.554200    
ROMANIA             1997                372982373.505800    
ROMANIA             1996                368364094.957100    
ROMANIA             1995                369585154.973000    
ROMANIA             1994                370051910.896700    
ROMANIA             1993                374292057.550200    
ROMANIA             1992                377523432.049100    
RUSSIA              1998                221766512.669100    
RUSSIA              1997                374326967.465400    
RUSSIA              1996                381809634.734000    
RUSSIA              1995                381184528.282100    
RUSSIA              1994                375794631.915400    
RUSSIA              1993                377875319.466600    
RUSSIA              1992                375273503.235200    
SAUDI ARABIA        1998                217215091.918100    
SAUDI ARABIA        1997                369242824.757500    
SAUDI ARABIA        1996                373618877.339600    
SAUDI ARABIA        1995                378187749.070300    
SAUDI ARABIA        1994                374999039.278000    
SAUDI ARABIA        1993                366822951.917900    
SAUDI ARABIA        1992                374454272.024400    
UNITED KINGDOM      1998                222179816.705000    
UNITED KINGDOM      1997                379425245.064200    
UNITED KINGDOM      1996                374056826.695201    
UNITED KINGDOM      1995                373799266.662500    
UNITED KINGDOM      1994                367192914.257200    
UNITED KINGDOM      1993                368550859.777400    
UNITED KINGDOM      1992                375532428.351300    
UNITED STATES       1998                221303614.120900    
UNITED STATES       1997                380807343.745300    
UNITED STATES       1996                374045995.850900    
UNITED STATES       1995                376664626.154500    
UNITED STATES       1994                379671360.758600    
UNITED STATES       1993                370738179.251000    
UNITED STATES       1992                370539274.573500    
VIETNAM             1998                223571364.229000    
VIETNAM             1997                367495148.535900    
VIETNAM             1996                369750060.856400    
VIETNAM             1995                373297717.357600    
VIETNAM             1994                374662303.667100    
VIETNAM             1993                369300188.961000    
VIETNAM             1992                371400470.962800    
